Gene,Chromosome
ABCC9,12
ACBD4,17
ACE,17
ADRA2B,2
ADRB1,10
ADRB2,5
AGT,1
APOE,19
CACNA1C,12
CACNA1D,3
CACNA2D2,3
CACNB2,10
CACNB4,2
CAMK2B,7
CAST,5
CCND1,11
CLCN6,1
CYP11B2,8
CYP1A2,15
CYP2C19,10
DSP,6
DUSP1,5
EDN1,6
EDNRA,4
GJA1,6
GUCY1A3,4
GUCY1B3,4
HFE,6
HSPA4,5
ITGB5,3
KCNJ11,11
LDLR,19
MME,3
MYO9B,19
NEDD4L,18
NPPA,1
NPPB,1
NPR1,1
NPR3,5
PDE1A,2
PGR,11
PKD2L1,10
PLCD3,17
RAD52,12
SHBG,17
SLC12A2,5
SLC14A2,18
SLC2A4,17
SLC5A1,22
TGFB1,19
VEGFA,6
