Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
AAMDC	NA	NA	NA	NA	250	0.7121	17.0969100130081	17.5662	13.249	28.1907	19.3066	14.2541	19.0509	12.2395	3.11176	2.70654	3.71772	3.28237	3.12157	2.54423	2.81064	3.05518	3.63792	3.42767	3.51779	10.1376	4.99537	13.978	9.69306	3.83136	16.3782	13.9452	14.2998	7.77779	18.8687	4.20683	19.8608	12.7765	13.5072	12.7064	5.93181	8.30753	3.39078	12.0421	7.06467	16.6601	14.9269	15.69	2.75199	6.18395	9.38764	11.2041	10.2318	5.36166	5.99743	9.67898	11.7706	11.4993	14.0646	10.9433	0.922159	-0.334284	-0.308028	-0.910107	-0.397	-0.755388	-0.492465	-0.186783	0.166261	-0.367239	-0.857093	-0.847208	-0.910182	-0.779793	-1.007549	-0.271456	0.629849	-0.290508	-0.215984	-0.269176	-0.268602	-0.148804	-0.87597	-0.425182	-0.197842	-0.557472	-0.240232	-0.542673	-0.258493	-1.11435	0.417608	-1.395679	-0.269673	0.129033	-1.419651	-0.249566	0.151319	0.151328	-0.289783	-0.292282	-0.25958	-0.336272	-0.162184	-0.483739	-0.227399	-0.11574	-0.317907	0.421336	-0.720313	-0.456402	0.021434	0.500011001	0	0	0	0.500011001	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	24	22	0	75	7.52026	65	5.04095	62	10.9659	0.000474346768584031	NA	97323	NA	NA	1406.35943	NA	0.513743401	0	0	NA	8.8056	NA	NA	NA	NA	1.495425	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.609	NA	unknown
ABCB9	NA	NA	NA	NA	7	-0.4107	11	2.49246	1.71852	2.18132	3.02951	2.77412	2.45254	2.12456	2.96522	5.06897	4.49695	12.3961	13.2136	7.87162	7.03711	3.09667	4.41856	4.95401	3.68053	3.62474	3.49075	3.21692	3.06823	1.53111	3.16566	4.26808	1.93645	1.84859	2.30991	1.86801	2.04556	4.11878	1.71101	0.945439	1.68082	2.27109	0.769601	2.18295	3.38796	0.426992	4.13644	4.58218	0.920196	8.21116	3.84956	2.19507	2.39382	2.66331	4.13979	1.97038	14.1191	3.65344	3.98553	3.14305	0.655909	-0.116217	-0.149686	0.315534	-0.105574	-0.163838	-0.114913	0.642734	0.743474	0.169073	0.199462	0.168345	0.964924	0.700955	0.467834	1.094692	1.400135	-0.118907	0.210971	0.601754	0.324644	-0.169499	1.204739	-0.1941	-0.215903	-0.162742	0.151074	-0.148787	-0.228024	-0.400603	0.452778	-0.568877	-0.188916	-0.165301	-0.155067	-0.133994	-0.172771	-0.157513	-0.240305	-0.093471	-0.317082	-0.218277	-0.322363	-0.111451	-0.178283	0.114666	-0.110135	0.53522	0.355912	-0.187173	0.21567	0.500000704	0	0	0	0.500000704	NA	0	0	0	0	-1.82	NA	0.0277778	0.000316857	0	0.00295175	0.002	1	15	161	6.51060604	61	8.95423	30	19.10415	52	9.73144	0.00290110755910397	4	60698	NA	NA	136.30539	1	0.392636538	0	0	NA	NA	NA	NA	1	0.999232487897864	4.327231	0.77777	0.74766	0.97666	0.98707	0.99206	NA	0.727	0.98453	0.34471	0.921	0.67566	unknown
ABCC8	NA	NA	NA	NA	280	-0.4145	51.301029995664	0.344894	0.524966	0.374595	0.120094	0.212239	0.189693	0.398914	6.93692	14.5522	9.76299	106.125	125.935	30.0186	22.182	8.25376	10.1244	10.187	6.88981	9.74942	5.38241	1.65406	0.0113234	0.0179703	8.81591	4.31605	1.45088	1.12481	0.534672	0.12661	0.537444	1.70193	1.51789	0.967023	0.455654	0.739279	0.0836391	5.5863	0.0720083	1.15933	5.19364	0.686187	10.09	74.0619	3.42677	0.187323	0.186953	1.5584	0.202676	6.49074	1.04186	7.07713	2.25624	2.05341	0.0134976	1.531504	1.388656	-1.680949	3.888939	3.160413	2.273622	0.423429	0.437944	0.470007	0.298729	0.302197	0.274796	0.326554	0.405074	0.575179	0.582739	0.574311	0.801624	0.715841	1.145373	NA	NA	0.758276	0.498882	1.188333	0.970826	0.403641	1.328011	1.584416	-6.643856	0.825552	-1.058049	0.897405	1.915487	0.737976	0.924459	-0.837147	-1.837408	1.293365	1.735174	1.731966	0.548255	-0.935328	0.559931	0.534513	2.495225	0.783021	1.199787	NA	0.0063295	0.537333194	0	0	0	0.537333194	NA	0	0	1	0	-2.09	NA	0	0.0150376	0	0.0071864	0.008	2	171	168	3.63608214	98	6.98143	16	3.28488	NA	NA	0.00000000000000393872340599153	5	84017	NA	NA	407.27264	1	0.771454096	1	0	NA	NA	NA	0.898838629	1	0.994687515614157	1.321894	0.52119	0.4811	0.97425	0.95536	0.94753	0.88303	0.932	0.82684	0.22052	0.926	0.19876	unknown
ABHD16A	NA	NA	NA	NA	671	-0.3551	18	28.0372	32.0755	32.389	35.2847	33.6356	33.9335	45.7043	15.1981	19.6338	24.5803	76.8167	72.3719	29.3905	32.6309	16.6506	25.7195	25.1233	19.9266	46.8583	21.3824	30.8634	22.6047	20.9375	52.2849	55.0103	45.8362	37.5559	38.0784	36.4859	37.3549	57.4304	17.1192	13.1007	20.0938	29.1677	23.855	44.897	31.9122	22.4092	45.4901	44.5924	14.7561	99.9986	52.3382	31.1824	31.6691	37.5384	49.6908	31.2413	82.6447	61.4562	59.1235	41.7176	47.2167	-0.084336	-0.065004	-0.116687	-0.117175	-0.143765	-0.092772	-0.319058	-0.284559	0.146605	0.304478	0.402946	0.152452	0.104394	0.622017	0.510752	0.127398	0.116209	0.185078	0.269389	0.074382	0.145125	0.167201	-0.068282	0.258072	-0.077027	-0.149285	0.088667	0.076896	0.113765	0.411798	-0.114803	0.274757	0.461074	0.386063	0.225921	0.425408	0.176498	-0.121688	-0.272693	0.227496	0.141781	0.045487	0.301661	0.440507	0.239764	-0.059914	-0.28402	0.778503	-0.262633	NA	0	0	0	0	0	NA	0	0	0	0	-0.34	NA	0	0	0.566667	0.047316	0.039	NA	10	4	0	95	6.96743	20	33.3747	55	6.53076	0.988882578133094	8	16495	NA	NA	331.75038	1	0.747095764	0	0	NA	NA	NA	NA	0.998	0.996360657198148	3.35467	0.64012	0.74766	0.49965	0.62575	0.70321	0.83903	0.434	0.9626	0.73137	0.583	0.86881	unknown
ABHD17C	NA	NA	NA	NA	52	0.4113	23.397940008672	2.38056	2.48975	4.35296	1.61154	2.83616	2.82672	8.90399	11.402	11.5293	12.7223	8.94724	9.99391	12.3045	12.7121	8.79667	8.36709	15.7506	9.75671	5.54334	7.02131	4.3857	14.0048	2.52987	4.17709	4.25555	3.81122	24.9545	3.96609	41.6267	4.35467	5.17901	1.26609	1.59465	5.69579	14.3438	2.47747	25.5374	23.4348	0.778978	2.89573	2.58038	2.97296	7.67391	15.3004	19.9435	20.2904	16.5963	8.59662	11.4535	6.90121	9.67384	3.61375	25.5713	0.768191	0.139337	-1.015738	-0.298991	0.282408	-0.420937	-0.7543	-0.041272	0.403536	-0.204391	-0.196865	-0.142098	-0.167148	-0.391691	-0.168462	-2.796299	0.353351	-0.177459	0.177086	-0.349385	0.249849	0.168051	-1.034522	-0.261147	-0.093469	0.147526	-0.105859	-0.196091	0.310263	-0.34231	0.812027	0.361806	-0.261348	-6.643856	0.314639	-0.345809	-2.120489	0.158007	0.240638	0.232422	-0.142868	-0.126603	1.204147	0.160617	0.529997	-0.121289	0.199444	1.459944	1.772532	1.187453	0.051424	0	0	0	0	0	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	1	44	140	4.97276773	137	7.23001	37	17.6206	34	7.32249	0.84082862967754	0	75937	NA	NA	3.26444	1	0.727348566	0	0	NA	NA	NA	NA	NA	NA	0.913384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
ABI2	NA	NA	NA	NA	2480	-0.388	17.397940008672	7.94813	7.78028	6.77087	14.7051	12.7039	15.4169	13.7899	17.9775	21.8984	22.6295	32.0279	26.7757	23.3292	29.5519	16.2934	18.3025	28.2854	17.1016	17.5265	13.5626	9.58767	12.3894	9.93579	19.6151	20.6936	16.956	7.53424	12.724	4.26278	13.2791	18.1373	8.56266	5.66386	6.4792	9.81848	2.51655	12.9301	7.07396	2.34957	17.5092	19.6467	2.10751	19.6398	13.471	5.97434	6.17462	6.86692	7.6786	4.64548	17.4261	18.4262	20.8618	11.2696	0.588007	0.121972	0.117853	0.212863	-0.106468	-0.25416	0.100096	-0.155144	0.079231	-0.045702	0.126794	0.019299	0.127895	1.039492	-0.077394	2.258307	-0.066977	0.061434	-0.080032	-0.230153	-0.166822	-0.056877	-0.188997	0.223792	-0.024616	0.268452	-0.133579	0.192784	0.049674	-0.039358	0.08118	0.580776	-0.22466	0.077032	-0.464254	-0.064944	0.159544	-0.364866	0.066497	-0.149364	0.056397	-0.047105	0.20264	0.12181	-0.056742	-0.065785	0.05757	0.074564	0.107755	0.126453	0.042064	0.516705023	0	0	0	0.516705023	NA	0	0	0	0	-0.36	NA	NA	NA	NA	NA	NA	1	35	NA	5.70325574	202	8.95276	42	7.63971	134	11.2256	0.953329215745317	1	119504	NA	NA	21.65188	NA	0.747748911	0	0	NA	NA	NA	NA	NA	NA	2.220803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
ABI3BP	0.152	0.472	0.001	NA	498	-0.3734	25.397940008672	36.2189	26.9885	4.72448	32.1034	63.1067	75.057	36.3484	1.26551	0.674393	3.93031	0.413638	0.538511	0.542164	0.454392	0.860778	1.39539	5.19073	1.00692	0.941357	0.763471	21.7985	98.3749	0.147403	42.8715	25.2976	28.7899	14.0654	43.3014	5.85903	26.6079	31.1705	20.3696	4.73695	2.76738	4.47808	0.704243	60.7154	11.0989	1.99157	57.284	39.4438	1.46583	4.63916	5.98531	13.5231	12.4853	15.4035	2.48206	5.95157	5.31633	36.956	31.2705	29.8176	0.0494288	-0.642046	0.164789	-1.213103	0.34592	-0.364461	0.185593	0.606027	0.430897	-0.553466	0.451318	0.412087	0.532308	0.560033	0.641718	-0.540975	0.582635	0.97137	-0.426241	-1.055612	-1.056497	-0.848061	-0.335861	0.365442	0.205861	-0.1946	-0.239303	0.125271	-0.247009	0.348255	0.830323	0.429164	-0.245294	-0.675129	0.638995	-0.259081	-0.414501	-0.216612	-0.866118	-0.553501	0.547671	-0.439593	-0.793108	-0.40722	0.220535	0.258024	0.349598	-0.536599	-2.231689	-0.487567	0.0089121	0.500024262	0	0	0	0.500024262	NA	0	0	0	0	0.45	NA	NA	NA	NA	NA	NA	NA	73	306	3.47688016	626	9.44015	172	4.92811	156	9.75384	0.00000039401554209396	13	244359	NA	NA	4357.86877	1	0.33108294	0	0	NA	NA	NA	NA	0.991	0.983493960185948	3.035321	0.28031	0.29175	0.17982	0.35336	0.35882	0.6444	0.122	0.79889	0.61202	0.646	0.41607	unknown
ABO	NA	NA	NA	NA	19	0.4289	406	4.43908	6.84199	32.0277	1.01235	1.79039	0.733042	5.80982	0.921242	1.19734	0.958389	0.61239	0.945284	1.50677	1.09389	0.893894	1.48433	0.671327	0.901269	0.854656	1.15485	6.31117	0.0255776	0.0853551	5.15185	6.1206	2.43495	43.0702	2.87148	34.6336	2.87161	9.72081	1.9572	2.38903	17.2195	21.2405	0.145468	13.3507	17.2377	0.674797	14.7723	64.9003	6.66681	1.97373	10.984	6.89556	6.74034	45.7197	3.85861	5.82009	24.5083	64.5572	7.19561	17.926	0.315837	0.781278	1.063917	-1.312609	-0.920995	0.941182	0.925341	-0.476338	1.122618	-0.563997	2.25989	3.070756	-0.781532	-0.888197	0.708126	-0.646837	-0.900756	-0.781253	-0.551661	-3.230359	0.601433	NA	1.409465	-0.849319	-0.88798	0.750132	1.296114	0.867778	-1.911009	1.058902	-1.09573	1.290319	0.695288	-0.968887	1.250787	-0.838113	-1.289631	-4.609568	1.394082	1.075099	1.808381	1.920266	-0.903579	-1.293902	1.353193	-0.493819	0.918815	-0.785179	-1.590719	3.051418	0.073678	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	25	132	96	4.96173847	NA	NA	NA	NA	NA	NA	NA	NA	24829	NA	NA	NA	1	NA	0	0	NA	NA	3.25	NA	NA	NA	1.892251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
AC002117.1	NA	NA	NA	NA	110	0.3652	NA	4.41658	1.26613	2.22253	1.82438	1.75019	2.54375	2.01041	0.359279	0.274333	0.344157	0.750321	0.975738	0.361013	0.268011	0.345374	0.285151	0.336917	0.264044	0.505473	0.283147	3.88327	0.834868	1.56443	1.86319	1.39677	1.61703	1.76367	1.78758	0.839161	1.8217	2.92137	0.454788	0.24306	0.697568	1.16535	0.216794	2.27829	3.61876	0.839741	4.35174	2.04554	1.87841	1.97081	2.69522	3.40659	4.44286	2.81213	2.8566	2.13908	14.2636	5.21298	2.26963	1.58518	0.992854	-0.270527	0.425109	0.547693	1.025969	1.287081	-0.318679	NA	NA	NA	NA	0.767631	NA	NA	NA	NA	NA	NA	-6.643856	NA	-1.750089	0.43427	-0.465069	-2.641014	-0.404749	1.261288	-1.369864	-1.47678	-1.804864	NA	-0.922052	NA	1.019678	0.593925	0.912738	0.396876	0.712059	-1.852389	-2.05564	0.803943	2.433419	0.235085	-1.551961	0.334259	-0.80366	0.241567	0.947845	-6.643856	-6.643856	0.821139	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4	8	NA	29	8.44332	27	29.8568	58	9.52918	NA	NA	11110	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	0.578	NA	0.519353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
AC004920.2	NA	NA	NA	NA	20	-0.6836	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12125	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	45	4.44468	NA	NA	8	49.5969	NA	NA	154	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.563237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
