wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI,Gene,BPlabel
56,1,1,117.11773,0.4561,18.294,7.48648,1.05469,8.69046,2.37503,0.506314,2.63463,1.91818,0.0393093,0.0,0.884429274,0.0,0.670620084,0.000700543,4.77784717,ABCC9,most likely
1,0,0,1512.78445,,,,,,,,,,,,,,,,,AC006455.1,least likely
357,0,0,12.38694,-0.438,,,,,,,,,,,,,,,,AC007216.2,least likely
24,0,0,1095.24097,0.6259,,,,,,,,,,,,,,,,AC007461.1,least likely
966,0,0,332.05359,0.4141,,,,,,,,,,,,,,,,AC008498.1,least likely
162,0,0,371.98567,-0.2965,,,,,,,,,,,,,,,,AC011298.1,least likely
290,0,0,0.61257,-0.2878,,,,,,,,,,,,,,,,AC011366.3,least likely
104,0,0,1535.52979,-0.3792,,,,,,,,,,,,,,,,AC012313.1,least likely
6,0,0,2.95899,-0.3115,,,,,,,,,,,,,,,,AC015987.2,least likely
1399,0,0,12.51592,0.4977,,,,,,,,,,,,,,,,AC016885.1,least likely
210,0,0,171.18661,-0.3834,,,,,,,,,,,,,,,,AC018445.1,least likely
261,0,0,4573.51533,-0.4349,,,,,,,,,,,,,,,,AC020907.1,least likely
21,0,0,31.18816,-0.229,,,,,,,,,,,,,0.146139458,0.050466464,,AC022532.1,least likely
846,0,0,3024.54248,0.4032,,,,,,,,,,,,,,,,AC068620.1,least likely
30,0,0,2440.91385,0.2594,,,,,,,,,,,,,,,,AC090574.1,least likely
66,0,0,1631.49769,0.1789,,,,,,,,,,,,,,,,AC091150.1,least likely
105,0,0,86.29137,0.3539,,,,,,,,,,,,,,,,AC093677.1,least likely
176,0,0,10.46141,-0.4437,,,,,,,,,,,,,,,,AC108868.1,least likely
135,0,0,0.31036,1.0733,,,,,,,,,,,,,,,,AC111200.1,least likely
115,0,0,7.54913,-0.4311,,,,,,,,,,,,,,,,AC117834.1,least likely
80,0,0,139.59497,0.5089,34.6796,7.29653,16.2436,41.5886,23.8061,7.19681,17.6493,9.65303,12.062,0.0,0.0,0.0,0.123297259,1.82643e-05,,ACBD4,most likely
17,1,0,1006.9095,-0.433,3.49419,2.92323,3.8524,0.520167,12.4842,112.341,3.1546,1.00705,0.157691,0.816284141,0.930627006,0.0,0.158249199,4.6328300000000005e-18,7.94256213,ACE,most likely
269,1,0,62.69652,-0.5859,5.08615,1.82702,3.54464,4.6432,0.807384,3.12083,2.6396,0.778696,0.209253,0.0,0.514240382,0.0,0.238498077,0.000244369,2.80622297,ADRA2B,most likely
266,1,0,95.03749,0.2683,0.225416,14.5952,0.914839,0.182195,0.313522,1.23019,0.133087,3.85523,0.6053,0.0,0.570663532,0.0,,,2.91936788,ADRB1,most likely
52,1,0,2513.68991,-0.3705,3.74804,3.47341,0.419869,3.40578,0.461902,0.649181,0.550471,1.16925,0.672835,0.0,0.838732221,0.0,0.668925405,0.476493104,10.75900262,ADRB2,most likely
198,1,0,587.2068,-0.284,10.9731,138.197,28.7566,1007.43,27.321,10.2313,19.1442,207.478,0.151938,0.957427108,0.905486233,0.0,0.172807097,1.57429e-09,4.7137448,AGT,most likely
38,0,0,17.52078,-0.4952,63.1979,19.7588,23.8201,28.1895,53.6259,43.5993,32.7289,12.5824,46.2769,0.0,0.0,0.0,0.831385493,0.997816207,8.7600131,AKT2,probable
104,0,0,264.70005,0.3519,,,,,,,,,,,,,0.146139458,0.15946756,,AL031666.2,least likely
98,0,0,722.18127,0.2755,,,,,,,,,,,,,,,,AL160274.1,least likely
465,0,0,611.7661,-0.3,,,,,,,,,,,,,,,,AL354808.2,least likely
48,0,0,21.64298,0.4095,,,,,,,,,,,,,,,,AL354993.1,least likely
159,0,0,1286.87597,-0.4258,,,,,,,,,,,,,,,,AL391152.1,least likely
56,0,0,169.84402,0.6414,,,,,,,,,,,,,0.237914741,0.172745644,,AL445989.1,least likely
27,0,0,11.5284,0.2613,,,,,,,,,,,,,,,,AL591806.1,least likely
122,0,0,94.57913,-0.3108,1.98378,0.313994,0.817907,0.38622,13.5439,30.3377,0.359897,2.11553,0.230484,0.0,0.0,0.0,0.219635889,4.89547e-05,1.70705006,AMH,probable
105,1,2,100.43917,0.4266,5.04825,2.0908,0.533557,0.279994,0.612412,0.837783,0.240832,1.17954,0.126609,0.0,0.363622861,0.0,0.824394882,0.454891016,4.92982383,ANGPT2,probable
14,0,0,13.90583,-0.2705,,,,,,,,,,,,,0.179693475,0.028983163,,AP000867.1,least likely
147,0,0,,0.4225,,,,,,,,,,,,,,,,AP002884.2,least likely
26,1,1,1533.87452,0.3577,111.936,91.3071,629.226,3181.76,103.448,191.285,3543.25,1154.31,2.69857,0.0,0.578384088,0.0,0.460647643,0.034533583,25.5898132,APOE,most likely
49,1,0,3332.8913,0.5474,436.279,110.294,270.218,11.4668,27.6952,17.3382,30.4087,29.577,0.975289,0.0,0.557884944,0.0,0.139342904,0.049925638,14.6291652,AQP1,probable
