iter	MultiClass
0	1.030915419
1	0.9557154439
2	0.9023181645
3	0.8539762456
4	0.8078295206
5	0.7839058878
6	0.7496050635
7	0.7333309714
8	0.7192099822
9	0.6996273139
10	0.6753655917
11	0.6612047393
12	0.6520067965
13	0.6383658655
14	0.6258786896
15	0.6157098813
16	0.6051811285
17	0.6000404885
18	0.5947764956
19	0.5893182691
20	0.58030037
21	0.5712113786
22	0.5668016884
23	0.5636526521
24	0.5530255435
25	0.5417184434
26	0.5293235758
27	0.522815048
28	0.5189481395
29	0.5127832473
30	0.5084719522
31	0.5051600192
32	0.4990170745
33	0.4938986543
34	0.4884720501
35	0.4865536561
36	0.4788992219
37	0.468559692
38	0.4629949065
39	0.4553700713
40	0.4516153252
41	0.4482636245
42	0.444365781
43	0.4399499477
44	0.4359975487
45	0.4343397433
46	0.4321225699
47	0.4292660724
48	0.4232171575
49	0.4174882911
