iter	MultiClass
0	1.036240835
1	0.9826585505
2	0.9142441979
3	0.876157073
4	0.844900767
5	0.8070802565
6	0.7956394161
7	0.7691133224
8	0.7482240656
9	0.7311892151
10	0.7172318555
11	0.70695229
12	0.6919920973
13	0.6795407834
14	0.6702714167
15	0.6559521926
16	0.6542792987
17	0.6449724436
18	0.6353985541
19	0.6272388762
20	0.6173906462
21	0.6101944633
22	0.604632942
23	0.5968509288
24	0.5863266431
25	0.5773929435
26	0.5723228167
27	0.5655750868
28	0.5582022998
29	0.5477054327
30	0.5425567062
31	0.5394056249
32	0.5318282855
33	0.5297073226
34	0.5269890697
35	0.5217227575
36	0.5146021751
37	0.5076416478
38	0.5052854757
39	0.5013076057
40	0.4988357128
41	0.4921851179
42	0.4884723456
43	0.4865825443
44	0.4831134111
45	0.4764840589
46	0.4725491454
47	0.4685701894
48	0.4635352307
49	0.4599096863
