,BPlabel_encoded
BPlabel_encoded,1.0
Rank,0.4566888618730809
Others,0.45398994507478657
FATHMM_score,0.3236439456735423
GenoCanyon_score,0.2238860406397197
LoFtool,0.19593463527527516
RVIS_Score,0.18023152386596175
M-CAP_score,0.15769085258565627
DeepSEA_Functional_Significance,0.14534380219817197
PROVEAN_score,0.12553385922786334
Artery_Aorta_GTExFC,0.1164804267461325
Brain_Cerebellum_GTExFC,0.11532793291553073
Artery_Coronary_GTExFC,0.10478445505600767
Vagina_GTExFC,0.0979116234383109
ExAc_constraint_obs_exp,0.09329122115679889
SignalValue_H3k4me1_median,0.08658847833469316
Pancreas_GTExFC,0.08648945982067689
Esophagus_Muscularis_GTExFC,0.07889906922074114
Prostate_GTExFC,0.07843420779421244
Sideeffectseverity,0.07232860327459074
Nerve_Tibial_GTExFC,0.06882124036186443
Brain_Cortex_GTExFC,0.06633989264911087
`Cells_EBV-transformed_lymphocytes`_GTExFC,0.06450867630182479
Adipose_Visceral_Omentum_GTExFC,0.06446666201178625
SideeffectFreq,0.061818047381702816
Thyroid_GTExFC,0.058029718650461824
Uterus_GTExFC,0.05488993505460544
DEOGEN2_score,0.0500051148487713
ui_panglaoDB,0.03823459118984373
Artery_Tibial_GTExFC,0.03773120908604702
humancellsensitivity,0.03685507894754354
Muscle_Skeletal_GTExFC,0.03513586262826085
Brain_Amygdala_GTExFC,0.027317971582823234
Brain_Nucleus_accumbens_basal_ganglia_GTExFC,0.025828128534414775
EMS_Max,0.024944386062922392
SignalValue_H3k27Ac_median,0.02354650441027115
Brain_Putamen_basal_ganglia_GTExFC,0.023211750344983375
Heart_Left_Ventricle_GTExFC,0.020657473433007115
GDI_Score,0.01771171589082261
Whole_Blood_GTExFC,0.016005484279871186
Lung_GTExFC,0.01560951381698152
CNVs_ExAC,0.0127838886158699
humancellspecificity,0.012621617568307736
Breast_Mammary_Tissue_GTExFC,0.00840716111596249
Skin_Not_Sun_Exposed_Suprapubic_GTExFC,0.0041577257939518905
betamax,0.003852497617521409
Heart_Atrial_Appendage_GTExFC,0.002475913677730303
H4k20me1_count,-0.0032079669719676826
Esophagus_Mucosa_GTExFC,-0.0032205107564232233
Brain_Frontal_Cortex_BA9_GTExFC,-0.0041564196962402275
Colon_Sigmoid_GTExFC,-0.005776232379402732
Cells_Cultured_fibroblasts_GTExFC,-0.009307031379926422
mousecellsensitivity,-0.010075968636385324
Testis_GTExFC,-0.010652283929590204
Skin_Sun_Exposed_Lower_leg_GTExFC,-0.012520019327688231
wgEncodeBroadHmmHuvecHMM.count,-0.012679471584760063
`Brain_Spinal_cord_cervical_c-1`_GTExFC,-0.013929099616715368
Brain_Cerebellar_Hemisphere_GTExFC,-0.01982081634842082
Spleen_GTExFC,-0.021633852178943865
PolyPhen,-0.024814145505962892
SignalValue_H3k27me3_median,-0.029010482775769342
CADD_raw,-0.031316311389023445
GERP++_RS,-0.033807194409797424
SIFT,-0.034187330231609594
GERP_Rankscore,-0.03912561788876549
Adrenal_Gland_GTExFC,-0.04147506252354587
Ovary_GTExFC,-0.04569448560899171
MetaSVM_rankscore.max,-0.04649533666479003
Brain_Caudate_basal_ganglia_GTExFC,-0.047109859857172795
Brain_Hypothalamus_GTExFC,-0.05123687209974777
Brain_Anterior_cingulate_cortex_BA24_GTExFC,-0.05397427859723314
SignalValue_H3k4me3_median,-0.05627728252812945
Small_Intestine_Terminal_Ileum_GTExFC,-0.05702984942157047
Minor_Salivary_Gland_GTExFC,-0.06129777896143766
REVEL.max,-0.06160352351200837
Liver_GTExFC,-0.06202879518701748
Stomach_GTExFC,-0.06269635369152537
SignalValue_H4k20me1_median,-0.06290717751326547
Esophagus_Gastroesophageal_Junction_GTExFC,-0.06701367522037498
integrated_fitCons_score,-0.06711611014997551
O_GlcNAc_Score,-0.06906527015337625
Kidney_Cortex_GTExFC,-0.06937793170009872
PharmGKB_Score,-0.07447765979722953
Eigen-raw_coding,-0.07707378044207978
DANN_score,-0.07801032042308852
Adipose_Subcutaneous_GTExFC,-0.08483373231708674
mousecellspecificity,-0.0875356327783212
MutationAssessor_score,-0.09057122463412838
logpval_gwascatalog,-0.09177562222542113
SignalValue_H3k9me1_median,-0.09178830722590986
MetaLR_rankscore.max,-0.09429806067499934
Pituitary_GTExFC,-0.09487312290851783
Colon_Transverse_GTExFC,-0.09798196861989537
GERP++_NR,-0.09847875501065202
MutPred_score,-0.10021583404778195
pLI_ExAC,-0.10482123974015047
fathmm-MKL_coding_score,-0.11209129833368789
Brain_Substantia_nigra_GTExFC,-0.11225918849537399
Brain_Hippocampus_GTExFC,-0.11296977777228942
Gene_length,-0.11491332263669582
SignalValue_H3k9ac_median,-0.11524137720224292
humanscore_Exomiser,-0.1237709432279301
MetaLR_score,-0.24978542073235882
MetaSVM_score,-0.25035406313975805
REVEL_score,-0.2505504518110228
ppiscore_Exomiser,-0.2616895709446634
SDI,-0.2742633932339054
mousescore_Exomiser,-0.323765511941675
HIPred,-0.36876964874954926
ExomiserScore,-0.38735595242173837
Mechanism,-0.6161640192634217
BPmed,-0.8159852269894208
MCAP.max,
fishscore_Exomiser,
MGI_Gene,
Ratmodel_Gene,
GTEx_signif_sexbias,
interaction,
