Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SDI	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	SIFT	PolyPhen	LoFtool	CADD_raw	DANN_score	Eigen-raw_coding	GERP++_NR	GERP++_RS	GenoCanyon_score	M-CAP_score	MetaLR_score	MetaSVM_score	MutationAssessor_score	DEOGEN2_score	PROVEAN_score	MutPred_score	REVEL_score	FATHMM_score	fathmm-MKL_coding_score	integrated_fitCons_score	GERP_Rankscore	PMIDB_Metabolite_interactor	interaction	SignalValue_H3k27me3_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	BPlabel
ABCC8	NA	NA	NA	NA	280	-0.4145	51.301029995664	1.531504	1.388656	-1.680949	3.888939	3.160413	2.273622	0.423429	0.437944	0.470007	0.298729	0.302197	0.274796	0.326554	0.405074	0.575179	0.582739	0.574311	0.801624	0.715841	1.145373	NA	NA	0.758276	0.498882	1.188333	0.970826	0.403641	1.328011	1.584416	-6.643856	0.825552	-1.058049	0.897405	1.915487	0.737976	0.924459	-0.837147	-1.837408	1.293365	1.735174	1.731966	0.548255	-0.935328	0.559931	0.534513	2.495225	0.783021	1.199787	NA	0.0063295	0.537333194	0	0	0	0.537333194	NA	0	0	1	0	-2.09	NA	0	0.0150376	0	0.0071864	0.008	3.63608214	6.98143	3.28488	NA	3.93872340599153e-15	5	84017	NA	NA	407.27264	1	0.771454096	1	0	NA	NA	NA	0.898838629	1	1	0.0423	2.687953	0.994687515614157	0.218972081909808	5.82	5.74	0.999953575246062	0.687886	0.8658	0.8277	3.145	0.947775	-1.51	0.85	0.932	-2.3	0.98444	0.554377	0.19876	NA	NA	2.24457	3.57889	1.29084	NA	NA	possible
ABCC9	NA	NA	NA	NA	56	0.4561	7	0.452557	-0.307203	-0.898063	-0.274756	0.429516	0.215019	0.431753	0.314485	0.50041	-0.707662	-1.363194	0.250539	-0.317595	-1.662892	-0.478721	-0.469268	0.360312	-0.481913	-3.589953	0.937921	0.697642	-6.643856	0.667657	-0.619337	-0.388801	0.199361	-0.184034	0.100848	-0.120954	-5.596209	0.452316	-0.216938	1.055216	0.190361	0.163588	0.334298	-0.306754	0.568715	-0.972996	0.364388	0.556739	1.762772	-0.714465	-0.370917	-0.242594	-0.612165	0.749893	1.240184	NA	0.079261	0.884429274	0	0.884429274	0	0.536960244	1	0	0	0	1	-1.97	NA	0.285714	0.00125589	0.818182	0.0199551	0.016	4.77784717	4.11477	8.24129	NA	0.000700542902364641	4	144001	NA	NA	117.11773	1	0.670620084	1	1	NA	NA	2	0.534491539	1	1	0.0477	4.259725	0.998664488648088	0.849162957474115	5.1	4.74	0.992798502297854	0.603921	0.9629	1.096	3.695	0.971384	0.57	0.882	0.906	-2.62	0.90319	0.487112	NA	NA	NA	1.57686	NA	NA	NA	NA	most likely
AC006455.1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2912	NA	NA	1512.78445	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC007216.2	NA	NA	NA	NA	357	-0.438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	333	NA	NA	12.38694	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.79949	NA	NA	NA	NA	least likely
AC007461.1	NA	NA	NA	NA	24	0.6259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	708	NA	NA	1095.24097	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC008498.1	NA	NA	NA	NA	966	0.4141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	224	NA	NA	332.05359	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.27858	least likely
AC011298.1	NA	NA	NA	NA	162	-0.2965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227	NA	NA	371.98567	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC011366.3	NA	NA	NA	NA	290	-0.2878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.035081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.7035	NA	NA	NA	NA	1569	NA	NA	0.61257	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35243	NA	NA	least likely
AC012313.1	NA	NA	NA	NA	104	-0.3792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.0118	5.144815	9.70319	NA	NA	950	NA	NA	1535.52979	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.74637	4.276035	1.75976	15	4.95002	least likely
AC015987.2	NA	NA	NA	NA	6	-0.3115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.97421	8.14872	11.38291	NA	NA	1672	NA	NA	2.95899	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.58618	1.3604	1	2.6721	least likely
