IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,mousescore_Exomiser,humanscore_Exomiser,fishscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Colon_Transverse_GTExFC,Nerve_Tibial_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Gene,BPlabel
0,1,280,407.27263999999997,-0.4145,0.0,0.0,0.0,3.938723405991529e-15,0.7714540959999999,3.63608214,0.534513,6.9814300000000005,-1.8374080000000002,0.548255,-2.09,1.2933649999999999,0.326554,0.274796,0.575179,0.582739,0.47000699999999995,1.7351740000000002,0.498882,0.7379760000000001,0.43794399999999994,1.731966,0.302197,0.801624,1.145373,0.405074,0.298729,0.715841,0.7582760000000001,0.924459,0.574311,0.5599310000000001,-1.058049,3.160413,ABCC8,possible
1,1,56,117.11773000000001,0.4561,0.884429274,0.0,0.0,0.000700542902364641,0.670620084,4.77784717,-0.242594,4.11477,0.568715,1.762772,-1.97,-0.9729959999999999,-0.31759499999999996,0.250539,-0.478721,-0.469268,0.50041,0.364388,-0.619337,0.163588,0.314485,0.556739,-1.363194,-0.48191300000000004,0.9379209999999999,-1.6628919999999998,-0.707662,-3.589953,0.667657,0.334298,0.36031199999999997,-0.370917,-0.21693800000000002,0.429516,ABCC9,most likely
0,0,1,1512.78445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC006455.1,least likely
0,0,357,12.38694,-0.43799999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC007216.2,least likely
0,0,24,1095.2409699999998,0.6259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC007461.1,least likely
0,0,966,332.05359,0.4141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC008498.1,least likely
0,0,162,371.98567,-0.2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC011298.1,least likely
0,0,290,0.61257,-0.2878,,,,,,,,12.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,AC011366.3,least likely
0,0,104,1535.52979,-0.3792,,,,,,,,12.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,AC012313.1,least likely
0,0,6,2.95899,-0.3115,,,,,,,,7.97421,,,,,,,,,,,,,,,,,,,,,,,,,,,AC015987.2,least likely
0,0,1399,12.51592,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC016885.1,least likely
0,0,210,171.18661,-0.3834,,,,,,,,7.766,,,,,,,,,,,,,,,,,,,,,,,,,,,AC018445.1,least likely
0,0,261,4573.515329999999,-0.4349,,,,,,,,7.39595,,,,,,,,,,,,,,,,,,,,,,,,,,,AC020907.1,least likely
0,0,21,31.188159999999996,-0.22899999999999998,,,,0.0504664637507207,0.146139458,,,7.125360000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,AC022532.1,least likely
0,0,846,3024.54248,0.4032,,,,,,,,9.833969999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,AC068620.1,least likely
0,0,30,2440.91385,0.2594,,,,,,,,3.2241400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,AC090574.1,least likely
0,0,66,1631.4976900000001,0.1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC091150.1,least likely
0,0,105,86.29137,0.3539,,,,,,,,8.99874,,,,,,,,,,,,,,,,,,,,,,,,,,,AC093677.1,least likely
0,0,176,10.46141,-0.4437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC108868.1,least likely
0,0,135,0.31035999999999997,1.0733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC111200.1,least likely
0,0,115,7.54913,-0.4311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC117834.1,least likely
0,0,80,139.59497,0.5089,0.0,0.0,0.0,1.8264306495169397e-05,0.123297259,,0.19506700000000002,7.52807,0.15590299999999999,0.13759100000000002,0.46,-0.187296,-0.343331,0.169534,0.215964,0.13534200000000002,0.111951,0.153864,0.16434200000000002,0.164554,0.142542,0.14047300000000001,0.264815,0.29971,0.189852,0.196448,0.25496599999999997,-0.35559,0.08809199999999999,-0.245238,0.143683,-0.199881,0.158275,0.329856,ACBD4,most likely
0,1,17,1006.9095,-0.433,0.9306270059999999,0.8162841409999999,0.0,4.6328287445364795e-18,0.158249199,7.94256213,0.354105,6.0877099999999995,0.926743,-0.38331,-0.57,-2.775792,-0.346445,-0.202015,1.0388540000000002,0.050503,-0.5975659999999999,-0.327757,0.8744870000000001,-0.31696599999999997,2.700781,-0.385567,-0.5097520000000001,0.9268709999999999,0.944708,1.161607,-0.532507,1.568196,-0.515339,0.285139,-0.879318,0.385561,0.722897,-2.652866,ACE,most likely
2,1,39,73.5044,-0.3064,0.0,0.0,0.0,1.98871537094846e-07,0.435617685,0.0,-0.358025,,0.671513,-6.6438559999999995,-0.4,,,,,,,,,,,,0.574404,-0.875467,0.942147,,-0.657327,,,-6.6438559999999995,,,-6.6438559999999995,,ACMSD,possible
2,1,112,194.54546000000002,0.4655,0.0,0.0,0.0,0.0944353057008641,0.75617367,9.41746522,-0.192889,7.010089999999999,0.13111099999999998,0.700151,0.13,0.366615,0.24996100000000002,-0.302262,0.571401,0.056083,0.263502,-0.331836,-0.077848,0.160341,-0.219034,0.08164,0.097961,-0.48562,0.453982,-0.191597,-0.36657,0.473762,0.06669800000000001,0.8457020000000001,0.302392,0.09636,0.067978,0.194477,ACOX1,possible
0,1,251,3.6049599999999997,-0.2944,0.8266041,0.957427108,0.0,0.734223241103143,0.6980452540000001,9.88631356,-0.125782,5.00635,0.492867,-0.662572,-0.27,0.260422,1.469023,-0.609726,0.790604,-0.530516,1.132045,-0.8075,0.500749,-0.42013100000000003,-6.6438559999999995,0.223313,-1.6778220000000001,-6.6438559999999995,-1.030139,-4.6665790000000005,-3.573813,1.41396,0.77782,-0.256048,-6.6438559999999995,-0.201286,0.749061,0.740259,ACTA2,possible
0,1,33,30.513209999999997,0.3791,0.0,0.0,0.0,0.0212580375414267,0.572527647,11.75996628,-0.217793,7.63748,-6.6438559999999995,1.3098610000000002,-0.2,0.953011,0.251886,1.436575,0.746436,-0.37902399999999997,-0.239279,-0.7928890000000001,0.28918299999999997,0.5440520000000001,-0.19866099999999998,0.383115,-0.232386,0.418033,-0.518201,0.25161300000000003,-0.218052,0.189573,2.1368,-0.388974,0.105921,-6.6438559999999995,-0.542471,0.656434,ADORA1,possible
0,1,269,62.69651999999999,-0.5859,0.514240382,0.0,0.0,0.000244368543397983,0.238498077,2.80622297,2.6821740000000003,3.2277,1.684791,0.403192,-0.25,-6.6438559999999995,-6.6438559999999995,-0.937578,0.768296,1.762535,-0.6337229999999999,1.404356,0.5601619999999999,0.680528,0.8697090000000001,0.375199,-1.804823,0.626748,0.621135,-4.162617,-2.0800919999999996,-3.132977,0.432906,0.471321,-0.392839,0.642837,-0.583585,-5.868582,ADRA2B,most likely
0,1,266,95.03749,0.2683,0.5706635320000001,0.0,0.0,,,2.91936788,0.693304,4.69039,-3.1613119999999997,0.778546,,-5.16079,0.23556799999999997,-0.20940999999999999,-0.344381,-0.647004,1.260947,1.5065879999999998,-0.437346,-2.701629,-0.783462,-1.8162169999999997,-1.184796,-6.6438559999999995,-1.201365,2.422936,0.359533,-0.366002,-0.647977,-6.6438559999999995,1.908354,1.107148,0.892756,-0.605254,ADRB1,most likely
0,1,52,2513.68991,-0.3705,0.8387322209999999,0.0,0.0,0.476493104047244,0.668925405,10.75900262,-0.32664299999999996,9.69708,1.313345,0.321598,0.42,1.034605,-6.6438559999999995,-1.460321,-1.383824,0.690348,-0.281683,0.272742,0.254384,0.28018200000000004,0.9067780000000001,0.208875,0.7483770000000001,1.372258,0.956111,-0.362008,0.380619,-3.5856230000000004,0.25506999999999996,-0.665428,-0.458609,-0.597503,-0.236499,-2.177262,ADRB2,most likely
0,1,198,587.2068,-0.284,0.905486233,0.957427108,0.0,1.5742948793642097e-09,0.172807097,4.7137448,0.657833,,0.56415,0.9959600000000001,0.49,-1.328187,-0.635085,-0.712651,-0.689856,-0.670928,-0.759732,2.6855740000000003,1.241344,-0.474817,-0.907425,2.823387,-0.5147229999999999,-2.811439,1.6673310000000001,-0.18321800000000002,-0.634989,1.6434900000000001,1.579983,1.260023,-0.555809,1.07159,1.30247,-1.932665,AGT,most likely
0,0,38,17.52078,-0.4952,0.0,0.0,0.0,0.9978162068559221,0.831385493,8.7600131,0.018661,9.28198,-0.21778699999999998,-0.154329,-0.65,0.181773,-0.22937399999999997,0.098281,0.15598399999999998,0.006734,-0.030257999999999997,-0.12016900000000001,-0.055102,0.043924,-0.254352,-0.10981300000000001,0.045959,-0.083449,0.125809,0.233733,0.049249,-0.21414,-0.155432,0.081136,-0.492429,-0.017514,0.034569,0.11180599999999999,AKT2,probable
0,0,104,264.70005,0.3519,,,,0.159467559569008,0.146139458,,,13.87176,,,,,,,,,,,,,,,,,,,,,,,,,,,AL031666.2,least likely
0,0,98,722.18127,0.2755,,,,,,,,9.755545,,,,,,,,,,,,,,,,,,,,,,,,,,,AL160274.1,least likely
0,0,465,611.7661,-0.3,,,,,,,,12.9831,,,,,,,,,,,,,,,,,,,,,,,,,,,AL354808.2,least likely
0,0,48,21.642979999999998,0.4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL354993.1,least likely
0,0,159,1286.8759699999998,-0.4258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL391152.1,least likely
0,0,56,169.84402,0.6414,,,,0.17274564375050197,0.237914741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL445989.1,least likely
0,0,27,11.5284,0.2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL591806.1,least likely
0,0,122,94.57913,-0.3108,0.0,0.0,0.0,4.8954693456369e-05,0.21963588899999997,1.70705006,0.804471,5.8026800000000005,3.465179,3.93096,,3.9856949999999998,2.761172,2.624324,2.7561560000000003,3.154977,3.3738040000000002,3.964067,3.8204910000000005,4.422732,2.481168,4.077557,2.207448,4.105542,4.056207,1.7685220000000001,2.8769669999999996,2.257061,4.05194,3.240065,2.977153,3.4537440000000004,3.3272559999999998,3.8068760000000004,AMH,probable
2,1,105,100.43916999999999,0.4266,0.363622861,0.0,0.0,0.454891016173085,0.824394882,4.92982383,-0.396753,9.11674,-0.562509,-1.75193,-0.42,-0.9788,-2.002064,1.102047,-0.8317049999999999,0.8441870000000001,-2.123087,-0.671327,-0.194131,-1.508263,-0.6301439999999999,1.043081,-6.6438559999999995,-6.6438559999999995,-1.416701,0.7363350000000001,0.907075,-6.6438559999999995,-0.644849,-0.482418,-6.6438559999999995,0.32111100000000004,-1.540466,1.27615,ANGPT2,probable
0,1,262,826.5867400000001,0.5789,0.0,0.0,0.0,0.993084640132559,0.7359347340000001,4.94565415,-0.256961,8.113719999999999,0.32345300000000005,-0.31566500000000003,-1.52,-1.278225,-0.345333,-0.240288,-0.448655,-0.800556,-6.6438559999999995,0.182897,-0.358302,-0.232789,0.8890299999999999,0.193302,-2.064807,1.8300319999999999,0.155375,0.416063,0.77822,-0.8444959999999999,-6.6438559999999995,-1.395415,-0.5106069999999999,-2.310835,0.464502,0.752969,ANO1,possible
0,0,14,13.905829999999998,-0.2705,,,,0.0289831629951808,0.179693475,,,10.6066,,,,,,,,,,,,,,,,,,,,,,,,,,,AP000867.1,least likely
0,0,147,,0.4225,,,,,,,,7.766939999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,AP002884.2,least likely
1,1,26,1533.8745199999998,0.3577,0.578384088,0.0,0.0,0.0345335830833016,0.460647643,25.5898132,0.949548,8.56601,0.5407109999999999,-0.39119299999999996,,0.9846969999999999,0.26157800000000003,-1.2750629999999998,-0.132356,0.26410500000000003,0.152302,-0.384262,0.608191,0.868928,0.818733,-0.385999,-0.136219,0.29592399999999996,0.363099,0.23645100000000002,2.259792,0.770278,-0.374548,1.222383,0.5017659999999999,0.371872,0.83435,-0.49006000000000005,APOE,most likely
0,1,49,3332.8913,0.5474,0.557884944,0.0,0.0,0.0499256381399427,0.13934290400000002,14.629165200000001,-0.997984,9.4829,1.502018,-1.3808120000000002,0.04,-5.36362,-3.149766,1.449647,-1.495088,-0.5747770000000001,-0.471866,-0.210133,0.405443,-0.365122,-0.854902,-0.213319,2.598586,2.908472,-0.44715900000000003,-0.584149,-6.6438559999999995,1.345416,-0.290808,-0.793196,-0.650053,-1.432239,0.341233,-1.353083,AQP1,probable
1,1,47,191.33923000000001,-0.4783,0.0,0.0,0.0,5.1760670770443805e-06,0.537733793,3.71537399,0.282597,8.01291,0.218957,-0.218154,-0.02,0.291977,0.146726,0.259344,0.11629600000000001,-0.247548,-0.142192,0.167732,0.24354099999999998,0.340043,0.190617,0.186468,-0.333624,-0.352194,0.237398,0.30535500000000004,-0.13806500000000002,1.7913869999999998,0.21610700000000002,0.257774,-0.189839,-0.220554,-0.551181,-0.19079400000000002,ARHGEF25,possible
0,0,17,2588.6288,0.3004,0.0,0.0,0.0,0.0391826461982656,0.146139458,1.99024055,-1.564454,4.1391800000000005,1.933297,,0.72,1.2276049999999998,1.037917,2.097186,1.532616,1.335035,0.9538280000000001,1.4307459999999999,0.840067,1.2719639999999999,2.3976919999999997,1.423253,,1.45441,0.95,1.196564,,0.927747,1.758202,1.9158509999999997,2.739385,1.12341,,-1.34281,ARMS2,probable
1,1,1,28.864590000000003,-0.1538,0.768817187,0.0,0.0,0.9876429666762491,0.718624055,5.35980957,-0.087614,5.87758,-1.6986,0.74216,-0.34,-4.9463,-0.20558099999999999,-0.16631600000000002,-0.302167,-2.690242,-0.818938,0.368791,0.705136,-0.1511,-0.133125,-0.125596,0.519407,0.198718,-1.150809,-0.20959499999999998,-0.613794,0.280159,-0.498133,-3.735955,0.64423,-0.30636399999999997,0.686451,2.017593,ARNTL,possible
0,0,516,2305.0631,-0.5586,0.0,0.919866211,0.0,8.21839210300339e-07,0.713784814,5.85157295,-0.11673900000000001,10.6463,0.165161,0.368739,-0.05,0.300824,-0.462422,-0.340381,-0.77928,-0.12467,-0.13005799999999998,0.232317,0.294703,-0.309342,-0.150206,0.167311,-0.18998199999999998,0.32852,-0.063113,-0.187101,-0.13836099999999998,-0.295011,-0.472106,-0.258615,-0.224768,-0.302637,0.375904,-0.44319200000000003,ARVCF,probable
0,0,229,162.29015,0.327,0.0,0.0,0.0,5.09137965873753e-07,0.30087763100000003,0.0,-0.24794699999999997,3.53689,-0.727564,-0.786234,0.55,-0.742188,-0.498221,-0.707624,-0.6268090000000001,-0.334215,-0.304573,-0.848908,-0.903789,-2.006993,-0.658817,-0.9688690000000001,-0.8894860000000001,-0.822623,-1.474394,-0.616942,-0.874367,-0.684801,-1.1598959999999998,-0.75466,-0.40618000000000004,-2.40645,-0.8458559999999999,-1.520809,AS3MT,probable
1,1,97,1068.9112300000002,0.3647,0.0,0.0,0.0,0.72851478269818,0.748623252,0.0,1.227835,11.9219,-0.22035,0.858509,0.4,-0.8261860000000001,0.741769,0.603996,1.182574,-2.2157419999999997,0.5739770000000001,1.384574,0.431375,-0.534611,-6.6438559999999995,-1.077444,0.5284,-1.069709,-0.543357,-0.213662,-1.854598,0.56088,-1.1667379999999998,1.481008,-0.696574,-0.29855,0.918156,-6.6438559999999995,ASIC4,possible
1,1,19,52.00083,0.2371,0.0,0.0,0.0,0.0233215368712169,0.44341918799999996,1.00352946,-0.33775700000000003,11.9668,0.860247,-0.8213799999999999,,-6.6438559999999995,-6.6438559999999995,0.836792,-6.6438559999999995,-2.7662970000000002,0.846865,-0.651352,-2.343962,0.573317,-6.6438559999999995,1.065434,1.3661860000000001,-6.6438559999999995,0.992851,0.714032,-6.6438559999999995,1.9856349999999998,1.356373,-1.5991229999999999,0.736897,-1.692763,0.43372,0.990246,ASPN,possible
