Brain_Anterior_cortex_GTExFC,Breast_Tissue_GTExFC,HIPred,mousescore_Exomiser,SDI,RVIS_Score,Colon_Transverse_GTExFC,Brain_Cortex_GTExFC
0.437944,1.145373,0.771454096,0,3.63608214,-2.09,0.498882,0.274796
0.314485,0.937921,0.670620084,0.884429274,4.77784717,-1.97,-0.619337,0.250539
-0.14003265,0.00479077,0.558083044,0.054735507,4.840962344,-0.0763,-0.03273327,0.04811546
-0.1530397,0.02648232,0.590129934,0.024334418,4.414524051,-0.2482,-0.06286054,0.00273305
-0.17040102,0.0295786,0.219771292,0.010592828,6.423002265,1.2983,-0.07279555,0.02677189
-0.15116474,0.00484032,0.639089217,0.059399694,5.30124572,-0.2485,-0.05439395,0.01119285
-0.16478008,0.04921918,0.2583745,0.005142404,3.598104135,0.3651,-0.03729453,0.00992018
-1.02053348,-0.08408601,0.672605511,0.091719604,9.451767375,-0.316,-0.03323894,-0.05843572
-0.34232712,0.01618845,0.278134313,0.009104892,4.185447038,0.4992,-0.08113233,-0.04458395
-0.94728879,-0.01510718,0.615531057,0.07123322,6.111167827,-0.3582,-0.06914492,0.0159813
-0.09564668,-0.00289798,0.617086036,0.041186355,5.338615989,-0.3052,-0.06459728,0.01042344
-0.1722805,0.05370454,0.272556649,0.01256424,3.402109468,0.3483,-0.05846647,-0.03046001
-0.16792665,0.03965162,0.506612689,0.0332547,4.232431012,0.2346,-0.07076784,-0.00366191
-0.13485405,0.02712153,0.146139458,0.005142404,2.812284126,0.2149,-0.00078856,0.04348061
-0.15095447,0.01579882,0.55898192,0.046515735,5.118045508,0.0673,-0.0169987,0.00761444
-0.2090297,-0.12172486,0.235347317,0.128444239,8.889853179,0.6765,-0.06526609,-0.06242073
-0.14238888,0.04443709,0.209532616,0.009104892,4.014395816,0.7106,-0.042171,0.02680985
-0.14062767,0.03269759,0.223367278,0.005142404,3.540557316,0.288,-0.03800399,0.00779475
-0.15076601,0.01825276,0.579121335,0.024334418,4.72670761,-0.2674,-0.06754044,0.00484192
-0.96804456,-0.03705739,0.682339448,0.095715934,8.818084069,-0.2604,-0.02922404,-0.05740924
-0.14297583,0.02244156,0.590893126,0.024334418,4.992591134,-0.256,-0.06027733,0.0036763
0.142542,0.189852,0.123297259,0,3.506272151,0.46,0.164342,0.169534
2.700781,0.944708,0.158249199,0.930627006,7.94256213,-0.57,0.874487,-0.202015
-0.31733467,0.942147,0.435617685,0,0,-0.4,-1.35634473,0.09246905
-0.219034,0.453982,0.75617367,0,9.41746522,0.13,-0.077848,-0.302262
-6.643856,-1.030139,0.698045254,0.8266041,9.88631356,-0.27,0.500749,-0.609726
-0.198661,-0.518201,0.572527647,0,11.75996628,-0.2,0.289183,1.436575
0.869709,0.621135,0.238498077,0.514240382,2.80622297,-0.25,0.560162,-0.937578
-0.783462,-1.201365,0.595852905,0.570663532,2.91936788,-0.670299239,-0.437346,-0.20941
0.906778,0.956111,0.668925405,0.838732221,10.75900262,0.42,0.254384,-1.460321
-0.907425,1.667331,0.172807097,0.905486233,4.7137448,0.49,1.241344,-0.712651
-0.254352,0.125809,0.831385493,0,8.7600131,-0.65,-0.055102,0.098281
-0.61431543,-0.01241145,0.146139458,0.039226498,5.484895597,0.4262,0.00909883,-0.17228774
-0.16102015,0.04348832,0.226396315,0.009096077,3.760237134,0.4471,-0.01496659,-0.00726511
-0.30328594,0.02947538,0.280573203,0.010634657,3.950056178,0.2624,-0.11415386,-0.0927313
-0.14400414,0.02382782,0.301523508,0.005142404,3.570473553,0.1771,-0.02352791,0.01038772
-0.16928315,0.05467364,0.578225198,0.023068909,4.8443926,-0.0645,-0.05000677,0.00685834
-0.13315884,0.04026767,0.237914741,0.005142404,3.510142566,0.2857,-0.06316738,0.03719788
-0.12379413,0.01958927,0.23174604,0.005142404,3.091006878,0.2411,-0.02044277,0.02169055
2.481168,4.056207,0.219635889,0,1.70705006,0.1811,3.820491,2.624324
