wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
280,407.27264,-0.4145,1.15933,0.0720083,0.0836391,1.04186,0.0,0.0,0.0,0.771454096,3.938723405991531e-15,3.63608214,0.534513,6.98143,-1.837408,0.548255,-2.09,1.293365,0.326554,0.274796,0.575179,0.582739,0.498882,1.735174,0.470007,0.801624,0.437944,1.731966,0.302197,0.737976,1.145373,0.405074,0.298729,0.715841,0.758276,0.924459,0.559931,-1.058049,3.160413,0.574311,ABCC8,possible
56,117.11773,0.4561,16.1667,4.15827,8.69046,0.506314,0.884429274,0.0,0.0,0.670620084,0.0007005429023646,4.77784717,-0.242594,4.11477,0.568715,1.762772,-1.97,-0.972996,-0.317595,0.250539,-0.478721,-0.469268,-0.619337,0.364388,0.50041,-0.481913,0.314485,0.556739,-1.363194,0.163588,0.937921,-1.662892,-0.707662,-3.589953,0.667657,0.334298,-0.370917,-0.216938,0.429516,0.360312,ABCC9,most likely
1,1512.78445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC006455.1,least likely
357,12.38694,-0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC007216.2,least likely
24,1095.24097,0.6259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC007461.1,least likely
966,332.05359,0.4141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC008498.1,least likely
162,371.98567,-0.2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC011298.1,least likely
290,0.61257,-0.2878,,,,,,,,,,,,12.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,AC011366.3,least likely
104,1535.52979,-0.3792,,,,,,,,,,,,12.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,AC012313.1,least likely
6,2.95899,-0.3115,,,,,,,,,,,,7.97421,,,,,,,,,,,,,,,,,,,,,,,,,,,AC015987.2,least likely
1399,12.51592,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC016885.1,least likely
210,171.18661,-0.3834,,,,,,,,,,,,7.766,,,,,,,,,,,,,,,,,,,,,,,,,,,AC018445.1,least likely
261,4573.51533,-0.4349,,,,,,,,,,,,7.39595,,,,,,,,,,,,,,,,,,,,,,,,,,,AC020907.1,least likely
21,31.18816,-0.229,,,,,,,,0.146139458,0.0504664637507207,,,7.12536,,,,,,,,,,,,,,,,,,,,,,,,,,,AC022532.1,least likely
