wgEncodeBroadHmmHuvecHMM.count,GDI_Score,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,RVIS_Score,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Ovary_GTExFC,Artery_Coronary_GTExFC
280,407.27264,0.0720083,0.0836391,1.04186,0,0,0,0.771454096,3.63608214,0.534513,6.98143,-1.837408,-2.09,0.326554,0.274796,0.582739,0.498882,1.735174,0.801624,0.437944,0.302197,0.737976,1.145373,0.924459,3.160413
56,117.11773,4.15827,8.69046,0.506314,0.884429274,0,0,0.670620084,4.77784717,-0.242594,4.11477,0.568715,-1.97,-0.317595,0.250539,-0.469268,-0.619337,0.364388,-0.481913,0.314485,-1.363194,0.163588,0.937921,0.334298,0.429516
1,1512.78445,20.8997214,11.2203146,24.801223,0.076703634,0,0.015733089,0.609613461,4.99491328,-0.04203211,8.3897393,-0.05427356,-0.1134,0.02721135,0.07149645,0.04231488,-0.01533387,-0.04892755,0.14587341,-0.15478675,0.06279106,0.01077934,-0.00358293,-0.00025215,-0.30285069
357,12.38694,27.111672,16.8479232,43.7195658,0.032877162,0,0,0.627727599,7.016965189,0.00088654,8.6029018,-0.00402664,-0.2192,0.01253018,0.02004838,0.00651896,-0.06399772,-0.08112014,0.02045989,-0.16647538,-0.02293473,0.02525416,0.00108004,-0.01716747,0.05800321
24,1095.24097,31.5879204,19.25562507,34.6541694,0.009589065,0,0,0.240947806,5.830684608,0.01999134,7.2274544,-0.09296363,1.0539,-0.04833387,0.03423376,0.05289525,-0.05412431,-0.0598445,0.15395574,-0.12970365,0.03909364,-0.01240171,0.00540279,-0.13357145,0.04060398
966,332.05359,21.4432157,11.8740019,27.1179744,0.059353575,0,0.018515081,0.641087395,4.629270702,0.01832502,8.61645865,-0.17963483,-0.2374,0.1010653,0.02551095,0.01097438,-0.04657835,-0.08565863,0.0246631,-0.12398897,0.0263623,-0.01703985,0.00509547,-0.03527391,0.06585417
162,371.98567,19.1637668,11.062721,23.1960756,0,0,0.028089352,0.225907194,3.671318533,-0.01171417,8.70351265,-0.08077984,0.4381,-0.02865117,0.03823842,0.08178188,-0.02462085,-0.07494372,0.10904314,-0.137224,0.08232808,0.03092356,0.02789343,0.04545511,0.11551143
290,0.61257,67.7579022,32.7576468,104.2197266,0.048249997,0,0.091576039,0.702403824,9.510742455,-0.07724836,12.7035,0.03614266,-0.2894,-0.54799871,-0.06953454,-0.29995492,-0.06352541,-0.07044592,-1.90054618,-1.01645471,-0.1678162,0.12374113,-0.07904011,-0.09178778,-0.04172873
104,1535.52979,31.8428226,18.1367758,39.8458134,0,0,0.009574271,0.272718812,3.980928347,-0.01634683,12.0118,-0.07557578,0.7264,-0.27677917,-0.00028568,-0.08598151,-0.04570548,-0.08161032,-0.22559099,-0.31603972,0.01476858,-0.00356426,0.02267558,0.00925847,-0.02989321
6,2.95899,38.6555617,20.0414368,44.3793196,0.071437101,0,0.028722813,0.665055002,8.367351011,-0.13112748,7.97421,-0.02689414,-0.3333,-0.34435361,-0.01566042,-0.12742662,-0.05338946,-0.04909556,-0.05234913,-0.80322768,-0.06137076,0.03752661,-0.04192905,-0.04648592,0.00438332
