IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
0,1,280,407.27263999999997,-0.4145,1.15933,0.07200830000000001,0.08363910000000001,74.0619,1.04186,0.37459499999999996,6.93692,0.011323399999999999,0.0179703,0.0,0.0,0.0,0.7714540959999999,3.938723405991529e-15,3.63608214,0.534513,6.9814300000000005,-1.8374080000000002,0.548255,-2.09,1.2933649999999999,0.326554,0.274796,0.575179,0.582739,0.498882,1.7351740000000002,0.47000699999999995,0.801624,0.43794399999999994,1.731966,0.302197,0.7379760000000001,1.145373,0.405074,0.298729,0.715841,0.7582760000000001,0.924459,0.5599310000000001,-1.058049,3.160413,0.574311,ABCC8,possible
1,1,56,117.11773000000001,0.4561,16.1667,4.15827,8.69046,2.3750299999999998,0.506314,2.63463,1.91818,16.5493,0.0393093,0.884429274,0.0,0.0,0.670620084,0.000700542902364641,4.77784717,-0.242594,4.11477,0.568715,1.762772,-1.97,-0.9729959999999999,-0.31759499999999996,0.250539,-0.478721,-0.469268,-0.619337,0.364388,0.50041,-0.48191300000000004,0.314485,0.556739,-1.363194,0.163588,0.9379209999999999,-1.6628919999999998,-0.707662,-3.589953,0.667657,0.334298,-0.370917,-0.21693800000000002,0.429516,0.36031199999999997,ABCC9,most likely
0,0,1,1512.78445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC006455.1,least likely
0,0,357,12.38694,-0.43799999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC007216.2,least likely
0,0,24,1095.2409699999998,0.6259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC007461.1,least likely
0,0,966,332.05359,0.4141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC008498.1,least likely
0,0,162,371.98567,-0.2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC011298.1,least likely
0,0,290,0.61257,-0.2878,,,,,,,,,,,,,,,,,12.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,AC011366.3,least likely
0,0,104,1535.52979,-0.3792,,,,,,,,,,,,,,,,,12.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,AC012313.1,least likely
0,0,6,2.95899,-0.3115,,,,,,,,,,,,,,,,,7.97421,,,,,,,,,,,,,,,,,,,,,,,,,,,AC015987.2,least likely
0,0,1399,12.51592,0.4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC016885.1,least likely
0,0,210,171.18661,-0.3834,,,,,,,,,,,,,,,,,7.766,,,,,,,,,,,,,,,,,,,,,,,,,,,AC018445.1,least likely
0,0,261,4573.515329999999,-0.4349,,,,,,,,,,,,,,,,,7.39595,,,,,,,,,,,,,,,,,,,,,,,,,,,AC020907.1,least likely
0,0,21,31.188159999999996,-0.22899999999999998,,,,,,,,,,,,,0.146139458,0.0504664637507207,,,7.125360000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,AC022532.1,least likely
