Gene	interactors
A1BG	CRISP3, FDXR, GDPD1, GLIPR1, KCMF1, PSME4, REV3L, RNF123, UBAC1, UBR4, UBXN1, WDR62, ZBTB40
A1CF	APOBEC1, CELF2, EIF4G1, FBP2, KHSRP, PSMG2, PSMG3, SDPR, SYNCRIP, TNPO2
A2M	ADAM19, ADAMTS1, ADAMTS12, ADAMTS7, AMBP, ANXA6, APOE, APP, B2M, CDK7, CELA1, CPB2, CTSB, GDPD1, HAPLN3, HIPK1, HSPA5, IL10, IL1B, IL4, KLK13, KLK2, KLK3, LCAT, LEP, LOXL1, LRP1, LYZ, MAPK6, METRN, METRNL, MMP2, MYOC, NGF, PAEP, PDGFB, PRADC1, PTX3, PZP, SPACA3, TGFBI, TGIF1
A2ML1	ECH1, FCRL5, L2HGDH, THRA, UGT1A10, ZFAND4
A4GALT	ABHD14A, ABHD17B, FCGRT, ICK, PTGFRN
A4GNT	ABHD14A, ARF5, FAM213A, FAM3C, FANK1, ICK, IMPA2, JMJD8, RNF167
AAAS	IZUMO4, KPNB1, NUP107, NUP133, NUP153, SEH1L, UBE2I
AACS	ARFIP1, FHL3, STAT6, TSG101, UNC13D
AADAC	APPBP2, CUL1
AADAT	SPACA3
AAED1	PICK1
AAGAB	AMPH, AP1G1, AP1G2, AP1S3, AP2A1, AP2A2, AP2S1, C15orf57, HEATR1, STX4, STXBP3
AAK1	AP2A1, AP2B1, AP2M1, AP2S1, ATP13A2, CCDC88A, CLTB, EYA4, GAK, GTSE1, LUZP1, RALBP1, REPS1, RUNDC3A, SEC24B, UBE2D2, WNK1
AAMDC	ACY3, VPS9D1
AAMP	AEN, ASAH1, C11orf57, DHPS, HSF1, INPP5K, MMADHC, NOV, PCP2, PLIN3, PMFBP1, PTF1A, PTPRO, PTPRU, SRP9, TBXA2R, TCF25, WNK1
AANAT	BHLHE40, DEC1, EIF4E3, F2, GRB10, PRKACA, STRA13, YWHAZ
AAR2	ACADSB, APRT, CD2BP2, CDC45, CDK1, DDX23, DHX38, EAPP, ECD, EFTUD2, FAM115A, GHDC, GJA5, IMPA2, INTU, IPO11, KDR, KIAA1143, KLHL36, MAD2L1, NAMPT, NCDN, NME3, PLRG1, POLR2B, PRPF19, PRPF6, PRPF8, RUVBL1, RUVBL2, SLC7A6OS, SNRNP200, SNRNP40, SNRPD1, TSSC4, TUBB1, UBR4, XPOT, ZNHIT2
AARS	ACTA2, AIM1, ASNS, AURKB, CACYBP, CIAPIN1, DARS, DPP9, EEF1B2, FARSB, GARS, IARS, IPO11, LARS, MICU1, MSH2, NARS, NMD3, NSUN2, PDIA3, PPP2R5E, QARS, SBDS, SDS, SMAD1, STAT1, STAT5B, TARSL2, TPD52
AARS2	ARHGEF26, DHRS4, DHRS4L2, MEGF10, MRPS16, RARS2, SUCLG1, ZNRF1
