Gene,XGB_Score
COL15A1,0.977636456489563
SMOC2,0.9579120874404907
MLIP,0.9560337066650391
SGCD,0.9458886981010437
CHRM2,0.9402622580528259
COG2,0.9314860701560974
ELK3,0.9294419288635254
SNTB2,0.9287337064743042
ARHGEF26,0.9213141202926636
PTPN3,0.9200127124786377
NOTCH3,0.9192449450492859
NOX4,0.9157323837280273
MYH11,0.9150336384773254
MED18,0.9150128364562988
FILIP1L,0.9149687886238098
ARNTL,0.9147624373435974
RNASEH2B,0.9145580530166626
TRAPPC9,0.9071515798568726
PROM1,0.906796932220459
P4HA2,0.9017346501350403
ACTA2,0.901500403881073
ADAMTS7,0.9010626077651978
PPHLN1,0.9001765847206116
PCDH18,0.8986793160438538
GOPC,0.8985521793365479
TIE1,0.8981766700744629
MYO1D,0.8962303400039673
SLC17A3,0.8959707021713257
RIN3,0.8945918679237366
MECOM,0.8944081664085388
SLC12A9,0.8944039940834045
ADORA1,0.8941375613212585
ASPN,0.8916870355606079
KLHL21,0.8911470770835876
VCL,0.8909241557121277
ZC3HC1,0.8908908367156982
SLC7A2,0.8892272710800171
PDLIM5,0.8873078227043152
LRRFIP2,0.8869844675064087
SZT2,0.8869181871414185
POLI,0.8869181871414185
TRANK1,0.8869181871414185
PACSIN3,0.8863553404808044
CTNNA3,0.8832452297210693
TRAK1,0.882914662361145
CWC27,0.882744550704956
TP53INP1,0.8813513517379761
CCDC68,0.8812539577484131
C1GALT1,0.8808387517929077
SLC22A3,0.8807797431945801
SETD6,0.8802952170372009
PLEKHA7,0.8795358538627625
HGFAC,0.879364013671875
CYP2C18,0.8789442777633667
PRIM1,0.8787688612937927
POLR3C,0.8779547214508057
SYNE1,0.8775254487991333
ARRDC1,0.8770331740379333
TTLL4,0.8767584562301636
MAST2,0.8762721419334412
SLC44A4,0.8761428594589233
PALLD,0.8760839700698853
PRKD1,0.8760640025138855
RNF215,0.8758254647254944
RERG,0.8758103847503662
DDHD2,0.87525874376297
INPP5B,0.87525874376297
PTPRJ,0.874639093875885
ORC4,0.874639093875885
CPS1,0.8744810819625854
KLF2,0.8741930723190308
DYSF,0.8739281296730042
AAMDC,0.8732237815856934
CRAT,0.8729607462882996
PLEKHG1,0.8729519248008728
SKAP1,0.8727152347564697
S100A4,0.8726387619972229
NAA16,0.8724477291107178
MAD1L1,0.8720308542251587
TRPM7,0.8714903593063354
APOH,0.8713817596435547
FRK,0.8713780641555786
LIG3,0.8703522682189941
GDF11,0.870305061340332
TOP3A,0.8696961998939514
STAM2,0.8696653246879578
ATG7,0.8692241311073303
ING1,0.8688168525695801
ENPEP,0.8685182332992554
HEYL,0.8684865236282349
PPIL1,0.8684420585632324
LIMA1,0.8681924939155579
MCPH1,0.8681142330169678
PKHD1,0.8678244352340698
COL4A4,0.8676906824111938
NOC3L,0.8674376606941223
MIA2,0.8656383156776428
TPM2,0.8654487133026123
SLC39A8,0.8645789623260498
HAUS3,0.8635852932929993
INSR,0.8633959889411926
USP38,0.8626939654350281
CEP164,0.8626564741134644
CEP97,0.8606807589530945
MSRA,0.8605400919914246
AKR1B10,0.8604254722595215
GPER1,0.8600798845291138
HAUS6,0.8599914312362671
QSOX1,0.8599912524223328
ANO1,0.8599802255630493
CAND1,0.8596671223640442
MERTK,0.8595412969589233
ZFPM2,0.8584913015365601
SARS2,0.8580814003944397
PPP2R1B,0.8573979735374451
SLC8A1,0.8552109003067017
NOTCH4,0.8549590110778809
PBX3,0.8545933961868286
DOT1L,0.8544005751609802
MSH5,0.8543033599853516
NBEAL1,0.8543005585670471
COG5,0.8537947535514832
EDEM2,0.8537892699241638
SORBS3,0.8532295823097229
KIAA1755,0.8528547286987305
RAD51C,0.8528033494949341
DBF4B,0.8528033494949341
PTPRD,0.8526398539543152
ADSL,0.8523808121681213
SHKBP1,0.8523808121681213
DCDC1,0.8521292805671692
FBLN5,0.8521193265914917
ABI3BP,0.8519651889801025
ZMAT5,0.8519272804260254
SLC2A9,0.8513745069503784
UNC5C,0.8512269854545593
CPT1C,0.8508796095848083
SH3PXD2A,0.850264310836792
TRIOBP,0.8502330780029297
GIPC2,0.8496848940849304
CHST9,0.8494443893432617
WDR12,0.8493385910987854
TCEA2,0.8491407632827759
GPATCH2,0.8490309119224548
CCT6B,0.8490309119224548
EIF2AK4,0.8490207195281982
APOLD1,0.8490113615989685
SDCCAG8,0.8479404449462891
PTK2,0.8475696444511414
OSBPL7,0.8467944860458374
PRKAG2,0.8460941910743713
MRPL20,0.8460928201675415
PFKFB2,0.846020519733429
ZNF207,0.8456708788871765
GFM1,0.845056414604187
CD151,0.8442493081092834
ATP8B4,0.8442327380180359
FBN1,0.8435019254684448
TNIP2,0.8433359861373901
USP4,0.8431628346443176
COL6A3,0.8430127501487732
GNB4,0.8428310751914978
KANK2,0.8425782918930054
GEM,0.8424164056777954
COL8A1,0.8423792719841003
PCNT,0.8420616984367371
ADAMTSL3,0.8416821956634521
ACMSD,0.8415146470069885
CDK2AP1,0.8414379954338074
LAMB2,0.8411529064178467
DOCK8,0.8407101631164551
PRKAG1,0.8405303359031677
AMPD3,0.8404748439788818
JUP,0.8403031229972839
NCALD,0.8399338126182556
CTBP2,0.8395686745643616
CLPB,0.8389537334442139
PPL,0.8388018608093262
PAWR,0.8386947512626648
C7orf63,0.8380008339881897
DNAJC16,0.8377607464790344
NAT10,0.837252140045166
CORO7,0.837252140045166
UFL1,0.837252140045166
PIGC,0.8371092081069946
ZDHHC18,0.8371020555496216
FIGN,0.836949348449707
ABHD17C,0.8362812399864197
ACOX1,0.8360064029693604
BTBD1,0.8357669115066528
BDH2,0.8352610468864441
GSS,0.8348286747932434
QPCTL,0.8346638083457947
RSF1,0.8346235752105713
ARHGAP15,0.8337855935096741
TCIRG1,0.8336719870567322
CERS5,0.8336283564567566
DVL1,0.8328211903572083
TSPAN14,0.8327195644378662
MTF1,0.832634449005127
BNIP3,0.8324786424636841
GLE1,0.8320392966270447
MPP6,0.8319570422172546
MYO1E,0.8318978548049927
FBLN7,0.831814169883728
STAB1,0.8295494318008423
CIRH1A,0.8291296362876892
CASZ1,0.8280293941497803
TBXAS1,0.8279433846473694
SLMAP,0.8277655839920044
PTCD3,0.8276641964912415
RAMP2,0.8276064395904541
GTF2I,0.8274456262588501
MANBA,0.8272672295570374
MXI1,0.8269001245498657
ZNF385B,0.8267731666564941
ARHGEF25,0.8267094492912292
FARP2,0.8265767097473145
USP54,0.8263232111930847
GLIS3,0.8251581192016602
AIG1,0.8249532580375671
SLC20A2,0.8248189687728882
SOX6,0.8242135643959045
CAMTA1,0.8240564465522766
OGFOD2,0.8238586783409119
ERAP1,0.823706865310669
SLC4A7,0.8234179019927979
ATF1,0.8233035802841187
COL21A1,0.822614848613739
TESK2,0.8224695920944214
STK25,0.8223164081573486
MLLT3,0.8218464255332947
RC3H2,0.8217786550521851
TCF7L1,0.8217123746871948
MARK3,0.8216933608055115
NFAT5,0.8216703534126282
DUSP16,0.8216143250465393
PPP2R5E,0.8214019536972046
MAK16,0.8214019536972046
STK36,0.8213320970535278
CEP120,0.8213106393814087
TALDO1,0.8212533593177795
KCNK5,0.8209063410758972
STAMBPL1,0.8207602500915527
LATS2,0.8206397891044617
MED21,0.8203649520874023
LRIG1,0.8203320503234863
POLD3,0.8200193047523499
XPR1,0.8196766376495361
ECM2,0.8195050954818726
GLYAT,0.8195050954818726
FOXC1,0.8191505074501038
KDM5A,0.819124162197113
SMNDC1,0.8191084861755371
FBXO22,0.8187627196311951
RAB5A,0.8185130953788757
BLZF1,0.8180519938468933
RAB34,0.817740797996521
SNF8,0.8174281120300293
PHF19,0.8170814514160156
RNF4,0.816944420337677
CPEB4,0.8164466023445129
FAM149B1,0.8163224458694458
ADCY5,0.8163154721260071
POU2F1,0.8162592649459839
LAMC1,0.8161489367485046
C2,0.8161321878433228
THAP9,0.8158837556838989
FHL3,0.8157098889350891
NAE1,0.815705418586731
MEIS1,0.8156678080558777
MCF2L,0.8155698776245117
ABI2,0.8152714967727661
ZBTB48,0.814886748790741
SMOX,0.8142859935760498
CDC42EP3,0.813900887966156
CELF1,0.813266932964325
ADAM11,0.813223123550415
IARS,0.813214123249054
HIPK2,0.8131595253944397
PKN2,0.8131279945373535
IST1,0.8126203417778015
UPF3A,0.8126096725463867
CDC20,0.8118239641189575
KANSL1,0.8117098212242126
MKLN1,0.8115478157997131
SNX19,0.8113853335380554
WIPF1,0.8110002279281616
GCH1,0.8108928203582764
SLC7A1,0.810845673084259
ANXA7,0.8108236193656921
RRAS,0.8103675246238708
ELL,0.8098409175872803
TBL1XR1,0.8098409175872803
CDK5RAP1,0.8096566796302795
AP3M1,0.8096067905426025
JAZF1,0.8089678883552551
PBX1,0.8085874915122986
DNAJB4,0.8085843324661255
BTRC,0.8085843324661255
HOXA3,0.808216392993927
SH3TC2,0.808173656463623
SETD1A,0.8081159591674805
PRKCE,0.8078994154930115
EHMT1,0.8078873753547668
CLP1,0.8078873753547668
CRK,0.8076770901679993
MED19,0.8075303435325623
PNKD,0.8074599504470825
HM13,0.8066195249557495
AKR1A1,0.8065409064292908
CDK14,0.8064266443252563
SPI1,0.8054746389389038
FKBPL,0.804681122303009
TFAP4,0.8044824600219727
FNDC3B,0.8042363524436951
ZNF516,0.8040673136711121
SIRT1,0.8038058280944824
FYN,0.8038058280944824
GXYLT1,0.8036523461341858
RREB1,0.8036469221115112
DAG1,0.8036013841629028
SLC22A5,0.8035753965377808
ZDHHC5,0.8031980991363525
MBNL1,0.8031980991363525
SMARCD1,0.8031980991363525
CAPRIN1,0.8031980991363525
PFN2,0.8029994368553162
LSM2,0.8025515079498291
HIP1,0.8024231791496277
EPC1,0.8022645711898804
ZNF638,0.8022445440292358
CLNS1A,0.8018494248390198
DNMT1,0.8018157482147217
MBD5,0.8016960620880127
RFFL,0.8011842966079712
DPYSL2,0.8010715842247009
ELOVL1,0.8009142875671387
MSI1,0.8007973432540894
HDAC9,0.8007721304893494
FRS2,0.8006311058998108
LTBP4,0.8004652261734009
MMP14,0.800287663936615
YAF2,0.8002495765686035
FAF1,0.7999867796897888
SPAG5,0.7999594807624817
ARAP2,0.7998265027999878
CDK5R1,0.7996723651885986
DPF3,0.7995883822441101
PREX1,0.7995379567146301
TRIP12,0.7995379567146301
SF3A3,0.7995379567146301
ADCY3,0.7993457913398743
SLC4A1AP,0.7991287112236023
MRPS16,0.798806369304657
CALCOCO1,0.7986354827880859
CFB,0.7985962629318237
ID1,0.798420250415802
SARDH,0.7981944680213928
USP50,0.7981317043304443
UBE2Q2,0.7978239059448242
TCF4,0.7972679734230042
STRBP,0.7969241738319397
CCDC66,0.7965657711029053
EML1,0.7965505719184875
C1orf21,0.7964459657669067
PSPH,0.7961461544036865
CCNT2,0.7959839105606079
PCOLCE2,0.795922040939331
KIAA0355,0.7958543300628662
STAG1,0.7955338358879089
MOV10,0.7954943180084229
ARIH2,0.7952962517738342
YY1,0.7952353358268738
MBNL2,0.7946655750274658
DHX30,0.794453501701355
EFS,0.7941789627075195
B9D2,0.7941551804542542
FBXL17,0.7939643859863281
FN1,0.7936285734176636
PPT2,0.7935765385627747
SGMS1,0.793511152267456
TRIP6,0.7935020327568054
NOB1,0.7934330105781555
MED8,0.7932885885238647
RBPMS,0.7930893898010254
GTF2B,0.7930776476860046
GMDS,0.7930346727371216
AGBL4,0.7928205132484436
RABGAP1,0.7927523255348206
ADAP2,0.7923716902732849
CDK6,0.7922550439834595
TNRC6A,0.7921757102012634
CTBP1,0.7921757102012634
RNF207,0.7921234369277954
CRLF3,0.7920954823493958
LRP1,0.7920069694519043
CKAP5,0.7919986248016357
PIAS1,0.7919667363166809
UBAP2L,0.7919415831565857
PLCB3,0.7919136881828308
LSM1,0.7915751934051514
ULK4,0.7913578152656555
ZBTB38,0.7912003397941589
HEXIM1,0.7909179329872131
GBF1,0.790864884853363
ATF6B,0.790864884853363
SMARCC1,0.7906162738800049
DUS4L,0.7905063033103943
TMEM200B,0.7903351783752441
COPS4,0.7900760173797607
HMGA1,0.789841890335083
ACHE,0.789435088634491
TBX20,0.7894187569618225
KAT5,0.7894175052642822
NADK,0.7891128659248352
TRNAU1AP,0.7890933752059937
PLCE1,0.788852870464325
C11orf49,0.7887797951698303
IRF6,0.7886812090873718
SIRT4,0.7886219620704651
DGKZ,0.788515567779541
MSI2,0.788515567779541
ST5,0.7885139584541321
CCNE1,0.7883127927780151
PTPRU,0.788260817527771
VMP1,0.7882509827613831
KLHL25,0.7879181504249573
MARK4,0.7875943183898926
AMBRA1,0.7875943183898926
ATXN2,0.7875943183898926
INO80,0.7872881293296814
CNOT1,0.7868393063545227
THSD4,0.7862635850906372
ZNF672,0.7861364483833313
PLEKHH1,0.786106526851654
NUDT3,0.7860020995140076
MAP1B,0.7859169244766235
IK,0.7856520414352417
QTRT1,0.7855924963951111
INTS4,0.7855711579322815
SLC25A26,0.7854169607162476
BAZ2A,0.7851913571357727
SARNP,0.7851913571357727
ARID1A,0.7849932909011841
MEF2A,0.7849932909011841
THOC7,0.7849323749542236
CYTH1,0.7849323749542236
DCBLD1,0.7848798632621765
CDKN2C,0.7848321795463562
FUBP1,0.7846882343292236
PDP2,0.7843023538589478
SF3A2,0.7841505408287048
SUPT6H,0.7841505408287048
DYNC1LI2,0.7839788198471069
CSK,0.7838734984397888
LARP4,0.7838522791862488
ATXN7,0.7837859988212585
AUTS2,0.7837859988212585
WDR55,0.7832632064819336
FBF1,0.782902717590332
IMMT,0.7828248739242554
SMG6,0.7827439904212952
KDM4B,0.7826834917068481
RDH10,0.7825624346733093
INPP5A,0.7825584411621094
VAC14,0.7825248837471008
CDK17,0.7824493646621704
YEATS2,0.7824493646621704
FURIN,0.7823229432106018
AEBP2,0.7821125984191895
JMJD1C,0.7819170951843262
UBN1,0.7819170951843262
DIP2B,0.7819170951843262
POLR1A,0.7818784713745117
CCT6A,0.7818727493286133
SF3A1,0.7818727493286133
SENP3,0.7818727493286133
NUDC,0.7818727493286133
PABPC4,0.7818727493286133
POGZ,0.7818727493286133
YAP1,0.7817302346229553
SENP2,0.7815192341804504
ZNF467,0.7812942266464233
TAF5,0.7812079191207886
PRADC1,0.7811549305915833
NUS1,0.7810152769088745
ZMYND19,0.7807615399360657
FAM168A,0.7807615399360657
BRD1,0.7807615399360657
MRVI1,0.7805395126342773
KAT2B,0.7805280685424805
TERF2,0.7802218794822693
TBC1D10A,0.7801921367645264
NEK6,0.7799614071846008
BRMS1L,0.7799509167671204
ERBB4,0.7798405885696411
YKT6,0.7798044085502625
DNM2,0.7798044085502625
SPON2,0.7796993255615234
NUDT13,0.7796993255615234
NOL8,0.7795720100402832
EPS15,0.7789884209632874
TSNARE1,0.7782873511314392
SKI,0.778026819229126
BMP6,0.7777929902076721
ARMC4,0.7774671316146851
GMPPA,0.7771795988082886
SLC22A4,0.7770873308181763
ANK3,0.7769578099250793
RHBDD1,0.7769108414649963
STXBP5,0.7767852544784546
FNDC1,0.7766366004943848
VWA7,0.7765722870826721
ZFHX3,0.7763237953186035
ARHGAP1,0.77627032995224
HDAC7,0.7761277556419373
PREX2,0.7759460806846619
SUPT7L,0.7759403586387634
NFATC2,0.775794267654419
PPP6C,0.7756991386413574
FERMT2,0.7756175398826599
P4HA1,0.7752742767333984
CHD2,0.7752386927604675
PRDM16,0.7751604318618774
TTI2,0.7751477956771851
FXR2,0.7744208574295044
SCAI,0.7741273045539856
CTNND1,0.7739099860191345
S100A2,0.7734225988388062
SLC4A10,0.7732115983963013
BMPR1B,0.7729617357254028
MDM4,0.7728970050811768
CALML6,0.7728510499000549
PIP5K1B,0.7727068066596985
