,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,HIPred,pLI_ExAC,SDI,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median,label_encoded
0,2.49095,2.21617,18.4806,22.0555,33.5184,14.9578,2.69006,14.8533,13.5888,11.9097,5.74837,4.28026,0.597538207,0.0,0.0,0.0,3.75013,54.6505,3.90918,0.270682,18.7513,0.705665529,0.0016588031963591,10.72351565,3823.81697,-0.24,9.33926,16.0,11.9355,1
2,9.37895,14.0761,13.0066,23.3413,299.651,12.8035,9.10802,18.8322,21.5212,36.1419,17.5022,31.786,0.476731295,0.0,0.0,0.0,107.02,15.5572,91.2765,0.805314,22.3202,0.638582647,0.999999515728741,9.68166462,470.40443,-4.24,10.1189,5.0,10.9901,2
3,3.78722,5.93892,0.774468,104.947,29.675,7.06853,9.50038,7.25478,6.85416,6.36807,22.6337,0.979535,0.0,0.0,0.0,0.0,23.1238,13.8929,22.5491,3.07719,0.217432,0.662514627,7.47762721295469e-08,7.84198815,188.10316,-1.48,11.6573,6.0,19.8429,2
4,2.08649,6.38485,3.18168,28.4236,4.83961,1.42551,6.65561,15.3959,17.4069,61.4322,5.16873,75.0298,0.0,0.0,0.0,0.0,93.5506,5.6359,2.74913,14.9254,2.93795,0.144167379,1.8916039899044898e-36,10.84189428,5319.06822,-2.15,6.04365,45.0,8.10516,2
5,18.5414,4.81627,14.2202,33.4057,211.916,93.2368,2.05055,9.54907,12.0581,18.3648,30.4251,0.0589206,0.0,0.0,0.0,0.0,12.1977,49.4709,6.06552,0.0621346,31.3937,0.111908376,1.71937025604407e-33,2.98347628,2117.48181,0.91,5.50173,6.0,15.930147400000005,2
6,0.00585144,0.0,12.5545,0.0197122,0.0518041,0.0,0.00652129,0.367526,0.0614377,0.0256088,6.46612,0.0128406,0.505917776,0.0,0.0,0.0,0.0213773,0.0167924,0.0135785,0.0061472,0.0,0.539853334,2.18849485467569e-10,5.92521539,532.30214,-1.14,7.70434,20.0,9.02469,2
7,1.16979,0.188391,28.6631,0.142705,2.15005,0.448509,0.0395297,0.636349,1.42067,4.9339,1.16304,0.188954,0.542326145,0.0,0.0,0.0,0.226452,6.13465,0.15458,3.12118,0.15626,0.431200802,0.000203043316816,13.89431448,3911.66291,-0.55,6.32686,7.0,4.46634,2
9,0.126571,7.53048,60.102,1.17048,3.68459,0.694119,0.751047,1.35738,5.15072,2.22594,1.83277,1.18057,0.357956668,0.0,0.0,0.0,0.230506,0.611658,0.115014,0.460133,1.07348,0.167412758,3.36341398926312e-29,5.83789823,1270.67962,0.96,12.1272,8.5,12.2691,2
11,3.94329,4.92482,1.61854,36.121,12.4064,5.96739,1.39858,14.1036,18.0773,36.3737,2.54814,7.80606,0.0,0.0,0.0,0.0,15.8432,39.3276,6.08027,2.50853,0.125358,0.622939706,0.358875895364322,7.41382319,376.48662,-1.37,13.1365,8.0,6.76812,2
12,0.518683,0.192588,0.0802191,0.247813,0.2223,0.258092,0.0415904,0.382868,0.314297,0.162708,15.2312,0.010956,0.0,0.0,0.0,0.0,0.507668,0.255868,3.6996,0.0342274,0.147037,0.670620084,0.0004554173584011,0.0,196.06202,-0.07,7.52756,8.0,10.1205,2
