Heart - Atrial Appendage_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,pLI_ExAC,HIPred,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median
3.90605,2.21617,18.4806,22.0555,33.5184,14.9578,14.8533,13.5888,11.9097,5.74837,4.28026,0.597538207,0.0,0.0,0.0,3.75013,54.6505,3.90918,0.270682,18.7513,0.001658803,0.705665529,3823.81697,-0.24,9.33926,16.0,11.9355
0.0106053,0.0594849,0.00362038,0.0261779,0.0266597,0.0470434,31.9955,0.00928151,0.00950291,1.0246,0.00308896,0.0,0.0,0.0,0.0,0.706029,0.008166,0.0307236,0.500521,0.104471,2.02e-07,0.465840608,2992.15591,-0.3,6.609176399999999,7.0,20.91856079999999
14.7096,14.0761,13.0066,23.3413,299.651,12.8035,18.8322,21.5212,36.1419,17.5022,31.786,0.476731295,0.0,0.0,0.0,107.02,15.5572,91.2765,0.805314,22.3202,0.999999516,0.638582647,470.40443,-4.24,10.1189,5.0,10.9901
4.59002,5.93892,0.774468,104.947,29.675,7.06853,7.25478,6.85416,6.36807,22.6337,0.979535,0.0,0.0,0.0,0.0,23.1238,13.8929,22.5491,3.07719,0.217432,7.48e-08,0.662514627,188.10316,-1.48,11.6573,6.0,19.8429
2.49655,6.38485,3.18168,28.4236,4.83961,1.42551,15.3959,17.4069,61.4322,5.16873,75.0298,0.0,0.0,0.0,0.0,93.5506,5.6359,2.74913,14.9254,2.93795,1.89e-36,0.144167379,5319.06822,-2.15,6.04365,45.0,8.10516
40.2355,4.81627,14.2202,33.4057,211.916,93.2368,9.54907,12.0581,18.3648,30.4251,0.0589206,0.0,0.0,0.0,0.0,12.1977,49.4709,6.06552,0.0621346,31.3937,1.72e-33,0.111908376,2117.48181,0.91,5.50173,6.0,15.355963700000004
0.0802705,0.0,12.5545,0.0197122,0.0518041,0.0,0.367526,0.0614377,0.0256088,6.46612,0.0128406,0.505917776,0.0,0.0,0.0,0.0213773,0.0167924,0.0135785,0.0061472,0.0,2.19e-10,0.539853334,532.30214,-1.14,7.70434,20.0,9.02469
1.66345,0.188391,28.6631,0.142705,2.15005,0.448509,0.636349,1.42067,4.9339,1.16304,0.188954,0.542326145,0.0,0.0,0.0,0.226452,6.13465,0.15458,3.12118,0.15626,0.000203043,0.431200802,3911.66291,-0.55,6.32686,7.0,4.46634
19.5771,15.4429,24.8065,31.4156,56.7975,98.4504,27.0569,23.7125,24.1291,100.961,7.98027,0.427016488,0.0,0.0,0.0,58.5638,32.6741,22.1337,35.5049,25.7055,2.11e-17,0.250911236,401.03419,-0.37,9.48842,3.0,13.7233
0.217285,7.53048,60.102,1.17048,3.68459,0.694119,1.35738,5.15072,2.22594,1.83277,1.18057,0.357956668,0.0,0.0,0.0,0.230506,0.611658,0.115014,0.460133,1.07348,3.36e-29,0.167412758,1270.67962,0.96,12.1272,9.13,12.2691
1.5193,6.77197,0.440205,9.28303,2.32113,6.28193,2.95544,6.78232,3.0974,4.13054,1.10238,0.0,0.0,0.0,0.0,2.0151,0.795924,1.08827,19.3602,15.1543,0.001314683,0.537832558,1639.72468,0.21,10.1363,5.0,10.2072
3.88385,4.92482,1.61854,36.121,12.4064,5.96739,14.1036,18.0773,36.3737,2.54814,7.80606,0.0,0.0,0.0,0.0,15.8432,39.3276,6.08027,2.50853,0.125358,0.358875895,0.622939706,376.48662,-1.37,13.1365,8.0,6.76812
0.707261,0.192588,0.0802191,0.247813,0.2223,0.258092,0.382868,0.314297,0.162708,15.2312,0.010956,0.0,0.0,0.0,0.0,0.507668,0.255868,3.6996,0.0342274,0.147037,0.000455417,0.670620084,196.06202,-0.07,7.52756,8.0,10.1205
0.0287551,0.0849319,59.5805,0.0838212,0.0860326,0.158824,0.0641312,1.41953,0.182742,0.339619,0.00911092,0.884939848,0.0,0.0,0.0,0.206429,0.138209,0.0896492,0.00851141,0.0109504,1.9e-15,0.260505974,1949.89203,1.16,3.07577,15.0,19.469710099999997
0.0,0.0212068,48.0676,0.0162879,0.0,0.0390766,0.0111246,3.96085,0.0776142,0.146839,0.0,0.892519962,0.0,0.0,0.0,0.0500646,0.0688661,0.0887139,0.0,0.0,3.75e-16,0.250911236,6759.48039,0.74,6.02256135,23.0,22.739125100000003
3.54938,3.067,4.53185,11.0837,9.62627,9.02837,7.94318,8.33796,8.68441,7.73224,4.48327,0.0,0.0,0.0,0.0,8.05844,5.95558,2.85996,10.2895,10.3781,0.637356652,0.378442705,14.35294,-0.32,9.25696,2.0,24.8314
17.1192,20.0938,23.855,44.897,45.4901,44.5924,31.1824,37.5384,49.6908,82.6447,47.2167,0.0,0.0,0.0,0.0,99.9986,32.389,15.1981,20.9375,22.6047,0.988882578,0.747095764,331.75038,-0.34,6.96743,8.0,33.3747
8.83823,9.52512,16.8487,17.9943,24.6806,27.5283,14.4494,11.2419,17.3006,98.4586,8.07819,0.0,0.0,0.0,0.0,42.7651,33.386,50.0031,11.4577,10.7637,0.642340813,0.72829324,863.32946,-0.2,7.2415,5.0,6.87758
24.093298000000004,26.423676999999984,24.099369700000008,57.10433199999999,61.126447,46.88133399999999,41.696288000000024,45.957737000000016,51.74811999999998,50.81061800000001,22.64697810000001,0.00558617998,0.0,0.0,0.0,58.048624,39.172246000000015,23.447457,36.99552570000002,44.449532,0.14933192621796965,0.5675506062,781.0536674999998,-0.03159999999999999,8.449245749999998,3.04,24.677498250000003
32.252621000000005,45.62201299999999,669.2087429999998,91.41330900000001,80.47243700000001,71.69745670000002,107.35805752100005,61.56558200000001,57.44720499999997,75.24911600000004,35.071429599999995,0.07856638836000002,0.0,0.0,0.0,67.45727,81.9383918,45.87671280000001,79.28379669999997,69.12391800000002,0.5844165988899999,0.5611886024000001,2.26454,-0.24280000000000004,8.428377150000001,8.2,21.298350150000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4728081891577663,0.28896647094999983,850.1156912,0.3168000000000001,7.868866400000004,3.03,17.415628399999992
24.093298000000004,26.423676999999984,24.099369700000008,57.10433199999999,61.126447,46.88133399999999,41.696288000000024,45.957737000000016,51.74811999999998,50.81061800000001,22.64697810000001,0.00558617998,0.0,0.0,0.0,58.048624,39.172246000000015,23.447457,36.99552570000002,44.449532,0.14933192621796965,0.5675506062,781.0536674999998,-0.03159999999999999,8.449245749999998,3.04,24.677498250000003
24.093298000000004,26.423676999999984,24.099369700000008,57.10433199999999,61.126447,46.88133399999999,41.696288000000024,45.957737000000016,51.74811999999998,50.81061800000001,22.64697810000001,0.00558617998,0.0,0.0,0.0,58.048624,39.172246000000015,23.447457,36.99552570000002,44.449532,0.14933192621796965,0.5675506062,781.0536674999998,-0.03159999999999999,8.449245749999998,3.04,24.677498250000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125507591474086,0.24782802147999983,1116.1060884999995,0.32030000000000025,7.475662200000005,3.1,18.85411819999999
24.093298000000004,26.423676999999984,24.099369700000008,57.10433199999999,61.126447,46.88133399999999,41.696288000000024,45.957737000000016,51.74811999999998,50.81061800000001,22.64697810000001,0.00558617998,0.0,0.0,0.0,58.048624,39.172246000000015,23.447457,36.99552570000002,44.449532,0.14933192621796965,0.5675506062,781.0536674999998,-0.03159999999999999,8.449245749999998,3.04,24.677498250000003
24.063998,24.553160999999996,20.942390999999994,56.50021100000001,62.10795200000004,56.93114100000003,46.11842990000004,41.687408000000005,48.85649999999999,57.108780000000046,22.917288100000015,0.0113897387,0.0,0.0,0.0,60.47716300000001,42.77083000000003,28.294867000000007,46.5712371,55.96494300000002,0.5836093230540768,0.55361082814,12.51592,-0.16209999999999994,8.27905945,2.75,27.15073249999999
24.093298000000004,26.423676999999984,24.099369700000008,57.10433199999999,61.126447,46.88133399999999,41.696288000000024,45.957737000000016,51.74811999999998,50.81061800000001,22.64697810000001,0.00558617998,0.0,0.0,0.0,58.048624,39.172246000000015,23.447457,36.99552570000002,44.449532,0.14933192621796965,0.5675506062,781.0536674999998,-0.03159999999999999,8.449245749999998,3.04,24.677498250000003
24.485609,24.85924,20.415253099999994,56.393849000000024,62.41655300000003,53.784609999999994,45.092520000000015,42.191648000000015,49.13196199999999,56.075665000000036,22.567308100000012,0.0246740679,0.0,0.0,0.0,58.957095,41.42880700000003,26.0485102,36.075762200000014,52.854759000000016,0.5970726651499999,0.5835252361999999,19.54317,-0.38799999999999996,8.92587,5.45,15.13575
26.722933000000012,27.581944199999974,23.920506,62.128676,72.14724400000003,57.40259400000001,67.00584999999997,47.95425600000001,59.778515999999954,62.41672800000003,34.86714379000001,0.0897611442,0.0,0.0,0.0,67.15041400000004,40.64705800000002,26.3157809,39.96151521000001,57.624074999999955,0.15245975715201565,0.5140314795700002,3024.54248,-0.39209999999999995,9.83397,7.7,6.494215
24.093298000000004,26.423676999999984,24.099369700000008,57.10433199999999,61.126447,46.88133399999999,41.696288000000024,45.957737000000016,51.74811999999998,50.81061800000001,22.64697810000001,0.00558617998,0.0,0.0,0.0,58.048624,39.172246000000015,23.447457,36.99552570000002,44.449532,0.14933192621796965,0.5675506062,781.0536674999998,-0.03159999999999999,8.449245749999998,3.04,24.677498250000003
24.093298000000004,26.423676999999984,24.099369700000008,57.10433199999999,61.126447,46.88133399999999,41.696288000000024,45.957737000000016,51.74811999999998,50.81061800000001,22.64697810000001,0.00558617998,0.0,0.0,0.0,58.048624,39.172246000000015,23.447457,36.99552570000002,44.449532,0.14933192621796965,0.5675506062,781.0536674999998,-0.03159999999999999,8.449245749999998,3.04,24.677498250000003
28.385233199999988,46.39721699999998,1155.5859808999996,113.47482759999995,80.47025299999997,64.726777,45.400828999999995,51.668721999999995,58.926349999999985,73.69064900000001,40.396357599999995,0.13653608475999998,0.0,0.0,0.0,73.99877099999999,66.47860900000003,24.064981300000003,59.55003754999998,60.94208099999996,0.029679158,0.123297259,3370.65082,0.6670999999999999,8.223396899999997,6.0,25.68304139999999
23.1468,11.5438,36.0467,12.6723,46.6491,25.3765,11.6351,19.2869,13.4823,16.5158,1.16262,0.0,0.0,0.0,0.0,21.7922,24.7557,7.02883,0.68476,1.66842,5.1200000000000015e-22,0.526022315,3979.35991,-1.97,6.73398,24.0,8.51791
3.24007,11.5688,17.4,15.3723,58.172,28.7791,4.61791,0.412936,0.0622008,8.14389,0.0302008,0.0,0.0,0.0,0.0,4.33389,1.64375,1.87392,0.046722,0.125557,3.59e-08,0.397014499,2093.29217,-0.36,10.4444,6.0,16.9213
34.4085,44.1715,155.224,28.9704,32.4605,18.9675,20.0288,75.7295,55.4904,48.3977,10.4746,0.72547625,0.0,0.0,0.0,17.6949,73.815,14.1181,29.8031,13.8263,0.00016291,0.400788903,1714.58162,-0.2,7.88825,10.0,12.6364
387.198,358.6,615.998,431.576,349.775,419.609,348.978,405.838,433.204,274.721,113.905,0.64744784,0.0,0.0,0.0,698.604,901.898,106.589,209.128,202.848,1.31e-07,0.195770636,459.50732,0.03,4.59275,13.0,9.37217
0.184999,0.254347,0.011255,0.469166,0.67498,0.280719,0.164866,0.118774,0.194844,1.38152,0.00748358,0.0,0.0,0.0,0.0,0.0783803,0.132638,0.21767,0.0133815,0.076344,0.999993945,0.480894595,15528.89086,1.28,8.56363,0.0,13.302536000000002
0.0716831,0.058495,0.221599,0.171626,0.234094,0.611142,127.57,0.312775,0.632049,2.88332,0.195576,0.0,0.0,0.0,0.0,0.254815,0.104366,0.0430769,0.0421825,0.098973,0.335356707,0.351971358,1151.46765,-0.03,7.432922450000001,2.0,10.547450800000002
2.78488,1.41497,0.84633,1.91087,3.43358,1.82194,4.35325,1.82837,1.38032,3.18788,0.109048,0.0,0.0,0.0,0.0,2.27979,1.96566,0.858797,3.97496,0.98013,0.146646887,0.266798615,281.52605,0.17,10.2978,26.0,14.8955
3.1642,3.44893,1.56442,16.2021,19.1316,4.79191,4.89046,7.75347,9.502,8.46451,5.64084,0.0,0.0,0.0,0.0,3.80408,4.26154,6.05922,3.90966,9.32634,0.831594949,0.767620981,4.10513,0.06,9.46981,11.0,8.77514
0.0208001,48.66,68.4379,0.0813756,0.0833936,0.178193,0.0365041,0.0790877,0.0441558,0.312212,0.0246835,0.0,0.0,0.0,0.0,0.169416,0.288429,0.0,0.0672155,0.0265708,1.99e-07,0.435617685,73.5044,-0.4,8.311520300000002,1.0,16.355684999999987
3.14755,3.24698,0.0825742,1.1152,1.89484,4.06486,0.851178,5.60719,0.244367,2.59336,0.11243,0.0,0.0,0.0,0.0,6.26137,1.40061,0.929601,0.109205,0.621092,1.33e-10,0.250911236,3575.80865,0.72,7.59664,60.0,3.6039
9.73711,11.6288,37.2952,19.2219,19.9963,15.0918,29.8323,19.3871,14.1378,15.4911,20.19,0.0,0.0,0.0,0.0,20.1664,20.612,9.58868,10.7652,15.024,0.094435306,0.75617367,194.54546,0.13,7.01009,9.0,6.60654
5.13308,5.59167,41.6148,42.4618,11.835,16.6875,4.27637,93.582,32.3426,18.7426,9.87725,0.0,0.0,0.0,0.0,3.28596,4.0526,3.82949,43.3552,2.30364,0.016763711,0.499158382,551.73015,0.27,10.29885,7.0,16.483003849999992
