Gene	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	ExomiserScore	humanScore_Exomiser	mouseScore_Exomiser	fishScore_Exomiser	ppiScore_Exomiser	RVIS_Score	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	GDI_Score	HIPred	IPA_Hyperlipidemia_Annotation	O_GlcNAc_Score	EMS_Max	ExAc_constraint_obs_exp	SignalValue_H3k27me3_median	SignalValue_H3k36me3_median	SignalValue_H3k79me2_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	label
ABCA1	286	31.2135	26.5546	54.6505	11.2591	17.6752	11.8074	25.49	3.90918	2.4302	8.4962	1.25409	2.14393	2.3736	1.98089	2.79976	2.84576	7.74535	5.07666	2.76384	4.87402	22.9093	18.7513	0.270682	16.6758	15.4416	29.2943	14.0678	18.0769	6.77989	16.073	19.2602	3.90605	2.49095	2.21617	3.83927	18.4806	22.0555	8.93377	6.82559	33.5184	14.9578	3.75013	7.20864	14.8533	16.7585	13.5888	11.9097	6.4175	5.74837	11.3555	13.0792	14.7825	4.28026	0.597538207	0.597538207	0	0	0	-0.24	0	0.0169173	0	0.0365095	0.032	9.33926	11.9355	13.3275	0.001658803	16	147235	3823.81697	0.705665529	1	4.032662715	NA	0.985537165	2.60607	2.09654	NA	15.0268	1.34923	556	1.19393	most likely
ABCA12	5.397940009	0.0130214	0.00976208	0.008166	0.0226894	0.0209771	0.0218111	0.0148477	0.0307236	0.0663967	0.0307934	0.0195877	0.0502714	0.0777164	0.0694591	0.0343268	0.0382158	0.0332751	0.0212471	0.0291947	0.0187058	0.0809004	0.104471	0.500521	0.0304693	0.0216311	0.160115	0.0579623	0.0129854	1.98897	0.0145794	0.0144677	0.0106053	0.00477714	0.0594849	0.027641	0.00362038	0.0261779	0.0259331	0.00750951	0.0266597	0.0470434	0.706029	0.0789262	31.9955	36.1826	0.00928151	0.00950291	0.02915	1.0246	0.0212495	0.017298	4.46651	0.00308896	0	0	0	0	0	-0.3	NA	NA	NA	NA	NA	NA	NA	NA	2.02E-07	7	206885	2992.15591	0.465840608	NA	NA	NA	NA	1.94997	NA	NA	NA	NA	NA	NA	probable
ABCA2	6.301029996	22.636	17.4279	15.5572	31.6375	29.0153	20.2361	22.5475	91.2765	67.9417	102.677	157.272	206.049	120.515	87.6224	144.848	95.5303	79.0471	108.172	487.822	152.822	21.357	22.3202	0.805314	22.8044	28.2312	24.5816	20.322	23.0974	8.02611	21.2158	23.3633	14.7096	9.37895	14.0761	21.1561	13.0066	23.3413	16.9518	8.18744	299.651	12.8035	107.02	29.0609	18.8322	17.4251	21.5212	36.1419	26.028	17.5022	63.6282	18.1015	19.354	31.786	0.476731295	0.476731295	0	0	0	-4.24	NA	NA	NA	NA	NA	10.1189	10.9901	10.3245	0.999999516	5	21681	470.40443	0.638582647	NA	3.810443807	NA	1.085474646	NA	2.05025	2.84446	12.5592	1.397015	NA	NA	probable
ABCA3	7.522878745	11.3949	9.28649	13.8929	18.8561	15.4719	15.1026	8.53218	22.5491	31.5767	22.3351	73.09	83.5399	49.75	44.6301	23.6468	28.8317	24.9586	19.6173	27.9765	19.5661	11.1826	0.217432	3.07719	5.42152	8.08809	15.6584	6.4016	15.1021	3.0292	15.6166	8.71141	4.59002	3.78722	5.93892	7.60897	0.774468	104.947	10.5224	4.85311	29.675	7.06853	23.1238	9.53081	7.25478	7.96105	6.85416	6.36807	5.37285	22.6337	50.0458	10.5876	4.04436	0.979535	0	0	0	0	0	-1.48	0.692308	0.00376412	0.00757576	0.00057759	0.001	11.6573	19.8429	5.56479	7.48E-08	6	64865	188.10316	0.662514627	NA	NA	NA	NA	8.38103	2.13968	6.971975	15.8837	NA	NA	NA	probable
ABCA7	41.04575749	7.82374	9.97311	5.6359	3.59723	5.08019	3.23019	5.42745	2.74913	4.7388	3.88627	28.0582	34.0034	8.77269	7.02688	3.4083	8.06723	4.07363	3.17556	5.30501	4.34864	9.45865	2.93795	14.9254	4.90986	8.04602	4.02351	8.40223	4.90897	13.7715	5.60713	7.74803	2.49655	2.08649	6.38485	8.15403	3.18168	28.4236	21.3085	5.23832	4.83961	1.42551	93.5506	12.6868	15.3959	14.4527	17.4069	61.4322	6.33449	5.16873	22.2847	4.03478	9.2944	75.0298	0	0	0	0	0	-2.15	NA	NA	NA	NA	NA	6.04365	8.10516	7.15015	1.89E-36	45	25469	5319.06822	0.144167379	NA	4.032662715	NA	NA	NA	3.1906	NA	10.5742	NA	NA	NA	probable
ABCA8	23.39794001	49.2269	58.8162	49.4709	21.3346	38.0601	19.7132	26.5122	6.06552	2.1819	7.30549	1.87646	3.32998	4.22865	3.56493	9.39409	5.3559	3.74221	8.4284	35.1388	11.0497	41.2388	31.3937	0.0621346	13.0333	22.5854	29.1471	18.1075	46.4908	7.65833	36.3879	52.9905	40.2355	18.5414	4.81627	2.17087	14.2202	33.4057	23.7639	7.48725	211.916	93.2368	12.1977	17.7376	9.54907	10.6215	12.0581	18.3648	13.9228	30.4251	39.242	24.7697	25.916	0.0589206	0	0	0	0	0	0.91	NA	NA	NA	NA	NA	5.50173	NA	7.64717	1.72E-33	6	88100	2117.48181	0.111908376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
ABCB11	27.04575749	1.79601	0.330985	0.0167924	0	0.064956	0	0.0462116	0.0135785	0.0145629	0.0169907	0	0	0.0155165	0.0128205	0.0176709	0.0191803	0.0121207	0	0	0	0.424847	0	0.0061472	0.0107211	0.0084921	0.00851783	0.466419	0.00576847	0.0513489	0	0.0550807	0.0802705	0.00585144	0	0	12.5545	0.0197122	0.0346237	0.0110336	0.0518041	0	0.0213773	0.0141906	0.367526	0.445857	0.0614377	0.0256088	0.0190183	6.46612	0.0245565	0	0.0482865	0.0128406	0.505917776	0.505917776	0	0	0	-1.14	NA	NA	NA	NA	NA	7.70434	9.02469	25.1865	2.19E-10	20	108384	532.30214	0.539853334	NA	NA	NA	NA	3.28218	1.67384	NA	15.1787	1.28948	117	1.25447	probable
ABCB4	27.04575749	0.814669	0.282523	6.13465	2.63841	0.50735	0.513955	0.680984	0.15458	0.141964	0.138496	0.11699	0.118184	0.168774	0.168449	0.204584	0.207486	0.0983075	0.130766	0.23093	0.211606	0.529663	0.15626	3.12118	0.442286	0.374208	0.949306	0.495711	0.706228	0.223796	0.690292	0.224018	1.66345	1.16979	0.188391	0.23904	28.6631	0.142705	0.491057	0.909511	2.15005	0.448509	0.226452	0.599081	0.636349	0.799377	1.42067	4.9339	0.162507	1.16304	0.75873	0.280833	0.605319	0.188954	0.542326145	0.542326145	0	0	0	-0.55	0	0	0	0.0026949	0.002	6.32686	4.46634	NA	0.000203043	7	78738	3911.66291	0.431200802	NA	NA	NA	NA	2.69728	NA	NA	NA	1.17489	183	1.12826	probable
ABCB6	22.22184875	32.2627	37.1349	32.6741	44.9166	43.9175	38.118	66.3302	22.1337	30.516	35.1717	82.64	84.2224	43.7765	39.4635	24.3948	38.4449	42.0454	26.6761	22.3463	21.4582	32.5884	25.7055	35.5049	59.286	56.348	32.0811	23.1648	38.295	40.1794	34.5326	57.9247	19.5771	14.664	15.4429	14.7662	24.8065	31.4156	21.6672	36.8987	56.7975	98.4504	58.5638	62.7864	27.0569	27.63	23.7125	24.1291	26.1408	100.961	70.4165	57.307	48.1878	7.98027	0.427016488	0.427016488	0	0	0	-0.37	NA	NA	NA	NA	NA	9.48842	13.7233	13.5756	2.11E-17	3	9222	401.03419	0.250911236	NA	NA	NA	NA	NA	5.5481	4.72635	14.2293	1.25768	3	1.59952	probable
ABCC2	8	2.63891	1.53455	0.611658	0.613943	0.816052	1.09686	2.56163	0.115014	0.0915452	0.156356	0.720462	0.794411	0.143971	0.111746	0.134365	0.136986	0.171721	0.12159	0.230107	0.141852	1.39935	1.07348	0.460133	1.26909	1.37942	0.776432	0.850404	0.911499	0.474199	0.751071	1.47322	0.217285	0.126571	7.53048	2.75283	60.102	1.17048	0.798846	0.686389	3.68459	0.694119	0.230506	0.847845	1.35738	1.7987	5.15072	2.22594	0.852257	1.83277	0.976316	1.13876	1.01227	1.18057	0.357956668	0.357956668	0	0	0	0.96	0	0.00094162	0.114286	0.00380277	0.004	12.1272	12.2691	9.63986	3.36E-29	NA	69460	1270.67962	0.167412758	NA	NA	NA	NA	NA	NA	NA	9.1448	NA	NA	NA	probable
