Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
ABCC9	NA	NA	NA	NA	56	0.4561	7	16.971	12.8344	2.63463	5.99089	7.70878	12.8141	5.66832	1.91818	2.25337	2.26524	0.382471	0.418858	1.90986	2.18052	1.69217	1.18345	1.54357	1.78704	1.0159	1.40359	10.0998	16.5493	0.0393093	11.3598	11.6318	8.26246	3.21715	15.0298	1.44118	13.0768	18.294	7.48648	8.40668	1.05469	4.51777	8.69046	6.55882	4.15827	16.1667	7.77437	7.75639	1.27613	2.37503	5.13089	2.38603	3.27033	1.92401	1.78365	2.04671	0.506314	8.48129	21.8175	5.20997	0.0161073	0.079261	0.884429274	0	0.884429274	0	0.536960244	1	0	0	0	1	-1.97	NA	0.285714	0.00125589	0.818182	0.0199551	0.016	3	18	8	4.77784717	18	4.11477	17	8.24129	NA	NA	0.000700543	4	144001	NA	NA	117.11773	1	0.670620084	1	1	NA	NA	2	0.534491539	NA	NA	1.466097	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.567	NA	most likely
AC006455.1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2912	NA	NA	1512.78445	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.223252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC007216.2	NA	NA	NA	NA	357	-0.438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	333	NA	NA	12.38694	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC007461.1	NA	NA	NA	NA	24	0.6259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	708	NA	NA	1095.24097	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.47955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC008498.1	NA	NA	NA	NA	966	0.4141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	224	NA	NA	332.05359	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.327	NA	least likely
AC011298.1	NA	NA	NA	NA	162	-0.2965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227	NA	NA	371.98567	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.447288	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0521	NA	least likely
AC011366.3	NA	NA	NA	NA	290	-0.2878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.035081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	15	12.7035	NA	NA	NA	NA	NA	NA	1569	NA	NA	0.61257	NA	NA	0	0	NA	NA	NA	NA	NA	NA	1.151617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC012313.1	NA	NA	NA	NA	104	-0.3792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	7	6	NA	10	12.0118	14	5.144815	4	9.70319	NA	NA	950	NA	NA	1535.52979	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC015987.2	NA	NA	NA	NA	6	-0.3115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	7.97421	1	8.14872	2	11.38291	NA	NA	1672	NA	NA	2.95899	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0.331976	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.502	NA	least likely
AC016885.1	NA	NA	NA	NA	1399	0.4977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	521	NA	NA	12.51592	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
