"Loci","Gene","XGB Score","Training_Score","LocusGene(s)","AvgScore_Per_Locus","SD_Per_Locus","Upper_SD_Threshold","direct_PPI_count","secondary_PPI_count","Avg_TopGene_Diff_Per_Locus","Variance_Per_Locus","IQR_Per_Locus","rsID_LEAD_SNP","minTRAIT","Median_Pvalue","Gene_type"
1,"CLNS1A",0.80184942483902,NA,"AQP11, CLNS1A, RSF1",0.738057772318522,0.139837124408844,0.877894896727366,0,12,0.144848704338073,0.0195544213629345,0.128461629152298,"rs2276415","DBP",3.12e-08,"protein_coding"
2,"SNTG1",0.661698579788208,NA,"SNTG1",0.661698579788208,NA,NA,0,1,NA,NA,0,NA,"SBP",9.715e-13,"protein_coding"
3,"FOLH1",0.670148730278015,NA,"FOLH1, OR4A41P, OR4A42P, OR4A43P, OR4A44P, OR4A45P, TRIM49B, TRIM51CP, TRIM51GP, TRIM53CP, TRIM64C, TYRL, UBTFL7",0.149747983194315,0.156976300017048,0.306724283211362,0,2,0.563767476007342,0.0246415587670421,0,NA,"SBP",1.47e-23,"protein_coding"
4,"RSF1",0.834623575210571,NA,"AAMDC, GAB2, INTS4, RSF1, USP35",0.765921950340271,0.110851389515861,0.876773339856132,0,4,0.134127289056778,0.0122880305575972,0.084697484970092,"rs4945197","DBP",4.95e-08,"protein_coding"
5,"CFDP1",0.593774437904358,NA,"CFDP1, CHST6, RP11-77K12.1, TMEM170A",0.516086012125015,0.235326167712974,0.751412179837989,0,3,0.229754567146301,0.0553784052104748,0.144972592592239,"rs1010630, rs11643209, rs4888411, rs35261357","PP,SBP",6.48e-31,"protein_coding"
6,"SMARCC1",0.790616273880005,NA,"CSPG5, SMARCC1",0.653446018695832,0.193988035235636,0.847434053931468,0,52,0.274340510368347,0.0376313578145825,0.137170255184174,NA,"DBP",1.68e-23,"protein_coding"
7,"PTK2",0.847569644451141,NA,"PTK2",0.847569644451141,NA,NA,2,225,NA,NA,0,"rs10087782, rs11777688, rs11781072","SBP, DBP",1.49e-13,"protein_coding"
8,"UBE2E3",0.761579513549805,NA,"UBE2E3",0.761579513549805,NA,NA,1,19,NA,NA,0,NA,"DBP",1.95e-12,"protein_coding"
9,"XPO1",0.762992978096008,NA,"AHSA2, USP34, XPO1",0.681111892064412,0.119466529700502,0.800578421764914,1,29,0.122821629047393,0.0142722517186809,0.109483331441879,NA,"DBP",2.22e-10,"protein_coding"
10,"USP38",0.862693965435028,NA,"USP38",0.862693965435028,NA,NA,0,0,NA,NA,0,NA,"DBP,SBP",1.64e-11,"protein_coding"
11,"COL4A4",0.867690682411194,NA,"COL4A4, RHBDD1",0.822300761938095,0.0641910411280928,0.886491803066188,0,2,0.090779840946198,0.0041204897611085,0.045389920473099,"rs10182307, rs2229813","DBP,SBP",6.415e-05,"protein_coding"
