Gene,loci,Training_Score,XGB_Score,Median_Pvalue,Gene_type,rsID_LEAD_SNP,minTRAIT
AQP11,1,,0.577700316905975,0.00000003445,protein_coding,rs2276415,DBP
CLNS1A,1,,0.80184942483902,0.0000000312,protein_coding,rs2276415,DBP
RSF1,1,,0.834623575210571,0.0000000495,protein_coding,rs4945197,DBP
SNTG1,2,,0.661698579788208,0.0000000000009715,protein_coding,NA,SBP
FOLH1,3,,0.670148730278015,0.0000000000000000000000147,protein_coding,NA,SBP
OR4A41P,3,,0.102194614708424,0.00000000000000000000000001091,pseudogene,NA,SBP
OR4A42P,3,,0.102194614708424,0.0000000000000000000000038354585,pseudogene,NA,SBP
OR4A43P,3,,0.102194614708424,0.0000000000000000000000151,pseudogene,NA,SBP
OR4A44P,3,,0.102194614708424,0.00000000000000000000000000215,pseudogene,NA,SBP
OR4A45P,3,,0.102194614708424,0.000000000000000000000005103735,pseudogene,NA,SBP
TRIM49B,3,,0.152434289455414,0.000000000000000000000005435,protein_coding,NA,SBP
TRIM51CP,3,,0.102194614708424,0.000000000000000000000000327,pseudogene,NA,SBP
TRIM51GP,3,,0.102194614708424,0.00000000000000000000000000428,pseudogene,NA,SBP
TRIM53CP,3,,0.102194614708424,0.0000000000000000000000798,pseudogene,NA,SBP
TRIM64C,3,,0.102194614708424,0.00000000000000000000000897,protein_coding,NA,SBP
TYRL,3,,0.102194614708424,0.000000000000000000000111,pseudogene,NA,SBP
UBTFL7,3,,0.102194614708424,0.0000000000000000000000115,pseudogene,NA,SBP
AAMDC,4,,0.873223781585693,0.0000000107,protein_coding,rs2186564,DBP
GAB2,4,,0.58626514673233,0.000000006445,protein_coding,"rs2450128, rs2373115, rs10899489",DBP
INTS4,4,,0.785571157932282,0.00000000463,protein_coding,rs60143695,DBP
RSF1,4,,0.834623575210571,0.0000000495,protein_coding,rs4945197,DBP
USP35,4,,0.749926090240479,0.0000000141,protein_coding,rs2510044,DBP
CFDP1,5,,0.593774437904358,0.000000000000000000000000000000648,protein_coding,"rs1010630, rs11643209, rs4888411, rs35261357","PP,SBP"
CHST6,5,,0.168422818183899,0.0000000000000000000000111,protein_coding,NA,SBP
